,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-01-04,3852,3910,3833,3876,1351800,3876
1,2019-01-07,3957,3972,3933,3952,1424800,3952
2,2019-01-08,3941,3954,3899,3899,1033200,3899
3,2019-01-09,3904,3928,3881,3886,1121400,3886
4,2019-01-10,3875,3913,3856,3906,1071700,3906
5,2019-01-11,3911,3940,3889,3921,776900,3921
6,2019-01-15,3902,3994,3894,3952,1205200,3952
7,2019-01-16,3963,3971,3934,3944,565000,3944
8,2019-01-17,3962,3973,3937,3955,597600,3955
9,2019-01-18,3964,3992,3956,3979,546100,3979
10,2019-01-21,3982,3983,3951,3953,581200,3953
11,2019-01-22,3975,3995,3968,3995,776200,3995
12,2019-01-23,3972,3982,3958,3959,730300,3959
13,2019-01-24,3964,3978,3927,3965,648300,3965
14,2019-01-25,3988,3997,3960,3966,754400,3966
15,2019-01-28,3961,3971,3922,3926,743500,3926
16,2019-01-29,3915,3981,3910,3976,1023000,3976
17,2019-01-30,3992,4043,3939,3966,1494900,3966
18,2019-01-31,4007,4035,3992,4008,1006800,4008
19,2019-02-01,3980,4024,3971,4024,1008400,4024
20,2019-02-04,4044,4077,4040,4058,800300,4058
21,2019-02-05,4070,4081,4061,4069,677200,4069
22,2019-02-06,4068,4099,4061,4079,667800,4079
23,2019-02-07,4079,4087,4040,4057,703000,4057
