,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-01-04,604,632,602,631,5839400,631
1,2019-01-07,647,652,622,625,4031500,625
2,2019-01-08,627,633,620,631,3228900,631
3,2019-01-09,639,641,634,639,1821000,639
4,2019-01-10,637,638,629,634,2455100,634
5,2019-01-11,641,645,636,641,2421900,641
6,2019-01-15,631,652,631,649,2363500,649
7,2019-01-16,647,647,634,641,1735100,641
8,2019-01-17,655,659,647,649,2159000,649
9,2019-01-18,658,663,653,658,1964200,658
10,2019-01-21,671,675,666,667,1682900,667
11,2019-01-22,667,670,652,657,1871300,657
12,2019-01-23,650,663,650,652,1885100,652
13,2019-01-24,648,658,647,654,1579500,654
14,2019-01-25,653,670,653,667,1961300,667
15,2019-01-28,665,671,657,660,1640800,660
16,2019-01-29,659,663,649,652,2523200,652
17,2019-01-30,660,665,649,649,2141200,649
18,2019-01-31,656,673,653,662,2960200,662
19,2019-02-01,657,658,641,641,2347900,641
20,2019-02-04,651,665,649,661,1699500,661
21,2019-02-05,667,669,657,660,1967200,660
22,2019-02-06,661,670,657,665,2209400,665
23,2019-02-07,670,680,663,674,3641400,674
