,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-01-04,13700,14060,13600,13910,1802300,13910
1,2019-01-07,14210,14290,13250,13330,1846800,13330
2,2019-01-08,13210,13760,13030,13520,1792900,13520
3,2019-01-09,13550,13860,13330,13550,978100,13550
4,2019-01-10,13640,13760,12920,13010,1587200,13010
5,2019-01-11,12850,13250,12410,12690,2305500,12690
6,2019-01-15,12540,12990,12530,12910,1243300,12910
7,2019-01-16,12940,13410,12850,13130,975500,13130
8,2019-01-17,12940,13120,12510,12610,1208500,12610
9,2019-01-18,12680,12930,12480,12880,1006500,12880
10,2019-01-21,12970,13030,12650,12650,779900,12650
11,2019-01-22,12650,13150,12600,13070,1247100,13070
12,2019-01-23,12890,13150,12760,12950,1328100,12950
13,2019-01-24,12900,12940,12580,12610,825500,12610
14,2019-01-25,12580,12780,12520,12520,709500,12520
15,2019-01-28,12390,12460,12190,12430,1058900,12430
16,2019-01-29,12540,12790,12400,12770,889700,12770
17,2019-01-30,12630,12840,12610,12690,677500,12690
18,2019-01-31,12800,12900,12620,12720,591500,12720
19,2019-02-01,12890,13350,12770,13050,961700,13050
20,2019-02-04,12980,13370,12770,13350,1064300,13350
21,2019-02-05,13360,13570,13010,13020,800200,13020
22,2019-02-06,13010,13260,12660,12660,695300,12660
23,2019-02-07,12710,12830,12430,12600,878600,12600
