,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-01-04,2084,2107,2049,2107,1507000,2107
1,2019-01-07,2176,2205,2161,2171,1496300,2171
2,2019-01-08,2194,2210,2180,2193,1526700,2193
3,2019-01-09,2215,2234,2202,2221,1488200,2221
4,2019-01-10,2205,2216,2163,2181,1361300,2181
5,2019-01-11,2202,2228,2197,2219,1604500,2219
6,2019-01-15,2188,2234,2180,2229,1387400,2229
7,2019-01-16,2220,2227,2203,2214,1313300,2214
8,2019-01-17,2228,2256,2205,2220,979800,2220
9,2019-01-18,2237,2282,2236,2277,1253100,2277
10,2019-01-21,2320,2338,2307,2321,1382100,2321
11,2019-01-22,2359,2367,2300,2314,1522500,2314
12,2019-01-23,2295,2338,2278,2323,1331700,2323
13,2019-01-24,2300,2325,2283,2323,1091300,2323
14,2019-01-25,2340,2354,2332,2343,1073700,2343
15,2019-01-28,2366,2392,2339,2343,1058000,2343
16,2019-01-29,2322,2338,2295,2335,963800,2335
17,2019-01-30,2331,2341,2282,2282,1680100,2282
18,2019-01-31,2347,2359,2316,2326,1454800,2326
19,2019-02-01,2334,2353,2308,2318,1034600,2318
20,2019-02-04,2336,2365,2318,2348,1147900,2348
21,2019-02-05,2378,2381,2352,2360,851000,2360
22,2019-02-06,2380,2391,2364,2385,1060600,2385
23,2019-02-07,2365,2367,2317,2340,1061400,2340
