,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-01-04,1269,1311,1265,1296,1152000,1296
1,2019-01-07,1330,1353,1320,1320,1314100,1320
2,2019-01-08,1334,1353,1325,1345,946400,1345
3,2019-01-09,1354,1361,1345,1347,886100,1347
4,2019-01-10,1324,1339,1306,1335,969400,1335
5,2019-01-11,1341,1350,1329,1344,1329300,1344
6,2019-01-15,1350,1390,1343,1384,1036500,1384
7,2019-01-16,1399,1399,1350,1351,841400,1351
8,2019-01-17,1363,1385,1350,1359,910800,1359
9,2019-01-18,1369,1398,1364,1389,795500,1389
10,2019-01-21,1407,1416,1398,1398,574800,1398
11,2019-01-22,1400,1416,1384,1396,603200,1396
12,2019-01-23,1394,1417,1389,1411,893800,1411
13,2019-01-24,1422,1440,1418,1430,838000,1430
14,2019-01-25,1438,1459,1432,1455,870900,1455
15,2019-01-28,1459,1459,1429,1436,853800,1436
16,2019-01-29,1454,1460,1419,1432,1291800,1432
17,2019-01-30,1440,1442,1405,1410,1003300,1410
18,2019-01-31,1438,1444,1420,1430,742700,1430
19,2019-02-01,1428,1433,1412,1415,755800,1415
20,2019-02-04,1431,1440,1411,1429,851000,1429
21,2019-02-05,1429,1445,1423,1440,514000,1440
22,2019-02-06,1441,1451,1426,1444,538000,1444
23,2019-02-07,1437,1440,1397,1402,939700,1402
