,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-02-07,324,325,310,311,29152900,311
1,2019-02-06,326,333,325,327,36971200,327
2,2019-02-05,315,324,309,321,53758600,321
3,2019-02-04,291,297,291,294,17305300,294
4,2019-02-01,293,294,288,289,14777600,289
5,2019-01-31,295,299,291,293,14688800,293
6,2019-01-30,294,298,289,292,17407000,292
7,2019-01-29,294,296,291,295,10755300,295
8,2019-01-28,300,301,293,293,14836500,293
9,2019-01-25,299,304,298,302,18958800,302
10,2019-01-24,292,299,290,298,12344600,298
11,2019-01-23,289,295,287,290,12409800,290
12,2019-01-22,290,294,288,289,14091800,289
13,2019-01-21,295,298,291,292,15935100,292
14,2019-01-18,296,297,292,293,10047200,293
15,2019-01-17,298,300,293,296,12097700,296
16,2019-01-16,299,300,292,294,17184800,294
17,2019-01-15,295,299,291,298,13706200,298
18,2019-01-11,294,295,289,292,14700400,292
19,2019-01-10,288,294,283,291,25356100,291
20,2019-01-09,291,295,287,292,23520300,292
21,2019-01-08,282,291,282,286,33522900,286
22,2019-01-07,281,285,277,281,24966600,281
23,2019-01-04,266,274,264,273,23996900,273
24,2018-12-28,268,277,267,274,23103900,274
25,2018-12-27,270,270,262,267,27978900,267
26,2018-12-26,264,267,257,261,24224900,261
27,2018-12-25,258,264,250,259,23998000,259
28,2018-12-21,270,272,266,271,33408200,271
29,2018-12-20,276,277,267,269,24797400,269
30,2018-12-19,283,284,275,278,40369000,278
31,2018-12-18,285,287,281,282,27923800,282
32,2018-12-17,292,294,284,290,34729300,290
33,2018-12-14,311,314,292,296,43627000,296
34,2018-12-13,314,318,313,314,17469200,314
35,2018-12-12,321,321,311,312,19643000,312
36,2018-12-11,318,319,309,317,17433600,317
37,2018-12-10,310,319,309,317,13808300,317
38,2018-12-07,319,323,316,317,18081400,317
39,2018-12-06,326,326,311,314,24922100,314
40,2018-12-05,318,328,317,327,16067900,327
41,2018-12-04,337,337,323,323,17429100,323
42,2018-12-03,334,334,328,332,14947300,332
43,2018-11-30,333,336,323,325,33114100,325
44,2018-11-29,331,337,330,332,34674200,332
45,2018-11-28,316,325,316,323,18196700,323
46,2018-11-27,323,325,310,314,30434000,314
47,2018-11-26,311,320,311,317,25915500,317
48,2018-11-22,303,311,302,311,16183000,311
49,2018-11-21,303,307,302,304,22568500,304
50,2018-11-20,305,311,303,306,17275900,306
51,2018-11-19,301,311,301,309,19080400,309
52,2018-11-16,313,314,305,305,27351400,305
53,2018-11-15,312,313,306,310,23133900,310
54,2018-11-14,317,319,313,314,24039700,314
55,2018-11-13,322,323,315,317,25075800,317
56,2018-11-12,330,333,327,327,14151600,327
57,2018-11-09,330,333,329,332,18435300,332
58,2018-11-08,334,337,331,331,19228200,331
59,2018-11-07,331,336,328,330,22321700,330
60,2018-11-06,328,333,326,327,18329500,327
61,2018-11-05,329,330,325,328,25656400,328
62,2018-11-02,331,335,326,333,35150100,333
63,2018-11-01,353,354,320,324,76551400,324
64,2018-10-31,358,358,351,355,23619600,355
65,2018-10-30,352,357,352,352,34825400,352
66,2018-10-29,361,362,353,355,17403700,355
67,2018-10-26,368,368,357,360,24491800,360
68,2018-10-25,368,369,363,365,21457200,365
69,2018-10-24,373,379,368,375,31026200,375
70,2018-10-23,372,376,367,367,22219400,367
71,2018-10-22,378,378,371,374,23252500,374
72,2018-10-19,378,380,373,378,17462900,378
73,2018-10-18,390,390,382,383,13274100,383
74,2018-10-17,387,389,384,387,18511100,387
75,2018-10-16,377,383,377,381,21632700,381
76,2018-10-15,380,383,373,374,19753300,374
77,2018-10-12,379,384,377,380,25230200,380
78,2018-10-11,375,380,370,375,35182300,375
79,2018-10-10,396,397,390,390,18761700,390
80,2018-10-09,392,395,390,391,16269100,391
81,2018-10-05,401,401,394,400,17621800,400
82,2018-10-04,405,406,400,401,19164800,401
83,2018-10-03,410,413,405,408,12591800,408
84,2018-10-02,414,415,410,412,16192900,412
85,2018-10-01,412,412,407,411,15342700,411
86,2018-09-28,402,409,399,409,37349900,409
87,2018-09-27,405,405,394,394,37705200,394
88,2018-09-26,399,404,396,401,34377500,401
89,2018-09-25,398,398,388,393,34248300,393
90,2018-09-21,415,415,397,401,53227300,401
91,2018-09-20,407,410,403,408,130177400,408
92,2018-09-19,400,409,398,408,69257200,408
93,2018-09-18,393,398,391,392,32437200,392
94,2018-09-14,393,396,388,393,62716700,393
95,2018-09-13,390,391,381,384,97766800,384
96,2018-09-12,366,389,365,382,110193400,382
97,2018-09-11,364,370,358,363,179829100,363
98,2018-09-10,370,373,369,371,5848600,371
99,2018-09-07,367,372,367,370,13855900,370
100,2018-09-06,373,378,365,366,21913600,366
101,2018-09-05,377,382,373,375,15265700,375
102,2018-09-04,381,382,375,377,13819700,377
103,2018-09-03,382,383,378,379,10992200,379
104,2018-08-31,382,384,380,382,10603100,382
105,2018-08-30,380,384,379,381,11770100,381
106,2018-08-29,376,381,375,379,12085300,379
107,2018-08-28,379,384,376,377,16037200,377
108,2018-08-27,383,386,379,380,15203200,380
109,2018-08-24,385,386,380,384,12142500,384
110,2018-08-23,390,391,386,387,6829500,387
111,2018-08-22,391,395,390,390,8819300,390
112,2018-08-21,391,398,389,391,10053300,391
113,2018-08-20,392,394,386,391,12259400,391
114,2018-08-17,398,401,395,397,8158000,397
115,2018-08-16,395,397,391,393,11037300,393
116,2018-08-15,404,405,399,403,10102700,403
117,2018-08-14,400,403,396,400,12592500,400
118,2018-08-13,409,411,396,400,15690600,400
119,2018-08-10,411,418,406,410,17209500,410
120,2018-08-09,425,427,410,411,14069600,411
121,2018-08-08,433,435,425,429,16511100,429
122,2018-08-07,429,437,428,436,25342800,436
123,2018-08-06,419,428,418,425,14793100,425
124,2018-08-03,414,421,414,419,10765500,419
125,2018-08-02,421,423,411,416,12062300,416
126,2018-08-01,419,429,411,416,25746300,416
127,2018-07-31,410,429,408,425,38226100,425
128,2018-07-30,409,423,404,415,44057100,415
129,2018-07-27,390,398,387,394,22360100,394
130,2018-07-26,378,384,375,382,15279100,382
131,2018-07-25,379,381,374,376,12053600,376
132,2018-07-24,370,378,368,375,7866800,375
133,2018-07-23,367,373,365,370,8312700,370
134,2018-07-20,371,371,366,368,10048300,368
135,2018-07-19,368,371,366,370,10572500,370
136,2018-07-18,364,370,363,367,16060300,367
137,2018-07-17,367,368,361,361,18966000,361
138,2018-07-13,369,372,366,368,16654300,368
139,2018-07-12,373,382,368,371,26409000,371
140,2018-07-11,400,400,371,375,66468400,375
141,2018-07-10,389,408,382,401,94293700,401
142,2018-07-09,355,361,354,360,11317300,360
143,2018-07-06,352,357,352,354,16822300,354
144,2018-07-05,355,358,351,352,18647400,352
145,2018-07-04,352,360,350,358,22879600,358
146,2018-07-03,365,366,354,358,21517600,358
147,2018-07-02,367,368,362,362,14493900,362
148,2018-06-29,364,372,364,368,19148900,368
149,2018-06-28,360,367,358,364,12165900,364
150,2018-06-27,367,371,362,364,11326600,364
151,2018-06-26,365,369,361,365,20270800,365
152,2018-06-25,377,380,369,370,24767000,370
153,2018-06-22,363,371,363,369,19620000,369
154,2018-06-21,371,376,369,369,13657300,369
155,2018-06-20,366,374,365,373,18119000,373
156,2018-06-19,369,374,363,366,23050000,366
157,2018-06-18,379,380,372,373,15624900,373
158,2018-06-15,385,386,379,381,19156900,381
159,2018-06-14,388,389,382,382,26115100,382
160,2018-06-13,391,394,388,389,17645600,389
161,2018-06-12,387,391,383,389,17058100,389
162,2018-06-11,387,388,382,385,15095500,385
163,2018-06-08,389,391,384,387,25625000,387
164,2018-06-07,391,395,390,393,13445800,393
165,2018-06-06,387,394,386,393,20423500,393
166,2018-06-05,386,388,380,386,21600600,386
167,2018-06-04,395,395,385,387,27501700,387
168,2018-06-01,395,398,390,393,13818100,393
169,2018-05-31,390,397,387,396,29484400,396
170,2018-05-30,387,389,385,387,14629400,387
171,2018-05-29,396,396,391,393,10949700,393
172,2018-05-28,388,398,387,395,16841700,395
173,2018-05-25,388,394,387,389,16506900,389
174,2018-05-24,396,397,390,391,22971300,391
175,2018-05-23,399,401,397,398,13308900,398
176,2018-05-22,407,407,399,400,16007800,400
177,2018-05-21,405,407,402,405,13236700,405
178,2018-05-18,404,405,400,402,10309400,402
179,2018-05-17,399,405,399,400,12197500,400
180,2018-05-16,397,401,396,399,13819000,399
181,2018-05-15,401,403,398,401,20593800,401
182,2018-05-14,405,407,402,404,11813300,404
183,2018-05-11,406,407,400,405,18836500,405
184,2018-05-10,415,416,406,407,24082300,407
185,2018-05-09,406,412,404,411,26035500,411
186,2018-05-08,404,409,400,404,32069200,404
187,2018-05-07,393,404,391,402,43455100,402
188,2018-05-02,389,393,387,389,28571200,389
189,2018-05-01,400,403,385,385,70217300,385
190,2018-04-27,450,458,448,450,21689600,450
191,2018-04-26,444,450,444,449,16464000,449
192,2018-04-25,441,443,438,442,17049800,442
193,2018-04-24,441,446,437,444,18692600,444
194,2018-04-23,447,449,441,442,16297300,442
195,2018-04-20,450,453,447,449,10991700,449
196,2018-04-19,451,453,448,451,11237800,451
197,2018-04-18,445,457,441,452,17895300,452
198,2018-04-17,448,456,447,448,20784300,448
199,2018-04-16,458,463,451,453,18856600,453
200,2018-04-13,461,463,457,459,13136600,459
201,2018-04-12,462,469,460,460,14092700,460
202,2018-04-11,466,469,461,462,19567100,462
203,2018-04-10,472,477,465,467,20108100,467
204,2018-04-09,482,482,475,475,14760500,475
205,2018-04-06,480,486,476,481,11541100,481
206,2018-04-05,487,488,482,482,13832600,482
207,2018-04-04,495,496,483,484,13682900,484
208,2018-04-03,496,500,488,497,12416800,497
209,2018-04-02,496,503,496,498,8678000,498
210,2018-03-30,495,497,491,494,7435100,494
211,2018-03-29,495,499,489,494,14982800,494
212,2018-03-28,493,496,486,491,20184400,491
213,2018-03-27,505,506,499,505,15963100,505
214,2018-03-26,495,505,495,505,12842300,505
215,2018-03-23,500,504,492,494,15302700,494
