,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2019-02-07,3115,3160,3075,3120,2072900,3120
1,2019-02-06,3100,3170,3075,3110,2346300,3110
2,2019-02-05,3100,3140,3070,3085,2364100,3085
3,2019-02-04,3120,3130,3050,3080,2042000,3080
4,2019-02-01,3055,3120,3050,3105,2327100,3105
5,2019-01-31,3035,3120,3000,3060,3869900,3060
6,2019-01-30,2991,3035,2959,2965,3029000,2965
7,2019-01-29,3065,3075,2923,2990,4053900,2990
8,2019-01-28,3100,3185,3085,3115,3365100,3115
9,2019-01-25,2949,3110,2940,3100,4528500,3100
10,2019-01-24,2905,2988,2893,2950,3044200,2950
11,2019-01-23,2877,2982,2860,2914,3437200,2914
12,2019-01-22,3005,3025,2908,2936,3174700,2936
13,2019-01-21,3100,3115,2994,3005,3306400,3005
14,2019-01-18,2850,3020,2844,3015,4371300,3015
15,2019-01-17,2896,2933,2848,2863,3282500,2863
16,2019-01-16,2866,2924,2810,2895,5209100,2895
17,2019-01-15,2653,2889,2652,2866,5085900,2866
18,2019-01-11,2742,2747,2617,2693,6196500,2693
19,2019-01-10,2700,2710,2575,2642,3994400,2642
20,2019-01-09,2659,2746,2641,2736,4167300,2736
21,2019-01-08,2583,2682,2578,2633,4691100,2633
22,2019-01-07,2643,2689,2596,2608,3078100,2608
23,2019-01-04,2563,2563,2426,2518,4417300,2518
24,2018-12-28,2674,2735,2661,2698,2654400,2698
25,2018-12-27,2807,2816,2698,2724,3465100,2724
26,2018-12-26,2641,2698,2567,2637,2823900,2637
27,2018-12-25,2568,2652,2550,2603,4140000,2603
28,2018-12-21,2823,2853,2722,2768,4980600,2768
29,2018-12-20,2988,3005,2834,2863,4505100,2863
30,2018-12-19,2977,3065,2945,3040,3334900,3040
31,2018-12-18,2948,3020,2913,2977,3817700,2977
32,2018-12-17,2990,3080,2968,3005,3100200,3005
33,2018-12-14,3075,3105,2936,2983,6281500,2983
34,2018-12-13,3150,3250,2995,3115,6082300,3115
35,2018-12-12,3120,3195,3075,3120,3635900,3120
36,2018-12-11,3175,3180,3015,3055,4153100,3055
37,2018-12-10,3175,3240,3165,3180,3310300,3180
38,2018-12-07,3370,3380,3200,3275,3753900,3275
39,2018-12-06,3440,3470,3270,3305,3849200,3305
40,2018-12-05,3460,3560,3440,3490,3067900,3490
41,2018-12-04,3605,3640,3495,3530,3479500,3530
42,2018-12-03,3645,3710,3615,3655,4360200,3655
43,2018-11-30,3590,3645,3540,3540,3801300,3540
44,2018-11-29,3665,3740,3585,3625,5306900,3625
45,2018-11-28,3350,3575,3340,3575,5509700,3575
46,2018-11-27,3345,3400,3305,3365,2961700,3365
47,2018-11-26,3195,3300,3170,3290,3252200,3290
48,2018-11-22,3275,3285,3155,3185,3086700,3185
49,2018-11-21,3160,3285,3125,3275,3087600,3275
50,2018-11-20,3310,3315,3215,3230,3349900,3230
51,2018-11-19,3295,3410,3265,3385,3704100,3385
52,2018-11-16,3435,3480,3270,3285,3957700,3285
53,2018-11-15,3450,3480,3375,3420,4147600,3420
54,2018-11-14,3370,3480,3335,3470,5077300,3470
55,2018-11-13,3215,3365,3165,3335,5252800,3335
56,2018-11-12,3175,3360,3165,3345,4307700,3345
57,2018-11-09,3405,3435,3205,3230,5658300,3230
58,2018-11-08,3590,3595,3415,3420,3973500,3420
59,2018-11-07,3490,3580,3410,3480,4338200,3480
60,2018-11-06,3515,3525,3445,3470,2567900,3470
61,2018-11-05,3440,3585,3420,3500,5590700,3500
62,2018-11-02,3340,3570,3315,3540,7782800,3540
63,2018-11-01,3255,3320,3210,3305,4077200,3305
64,2018-10-31,3155,3265,3110,3265,5183200,3265
65,2018-10-30,2841,3075,2831,3065,4130800,3065
66,2018-10-29,2896,2970,2880,2888,3690900,2888
67,2018-10-26,3050,3100,2836,2897,7232100,2897
68,2018-10-25,3015,3105,3005,3045,4787000,3045
69,2018-10-24,3210,3235,3150,3175,4278200,3175
70,2018-10-23,3240,3310,3150,3185,5525300,3185
71,2018-10-22,3125,3335,3105,3310,5073500,3310
72,2018-10-19,3000,3205,2997,3195,4348100,3195
73,2018-10-18,3325,3330,3110,3115,5636500,3115
74,2018-10-17,3315,3380,3265,3380,4683500,3380
75,2018-10-16,3240,3250,3115,3245,3588400,3245
76,2018-10-15,3055,3280,3055,3200,5052000,3200
77,2018-10-12,2950,3195,2942,3190,7444700,3190
78,2018-10-11,3000,3125,2980,3020,9549000,3020
79,2018-10-10,3220,3270,3150,3215,4254000,3215
80,2018-10-09,3260,3295,3180,3190,4701600,3190
81,2018-10-05,3390,3435,3335,3360,2927500,3360
82,2018-10-04,3500,3520,3400,3450,2456600,3450
83,2018-10-03,3480,3530,3445,3455,2461200,3455
84,2018-10-02,3575,3630,3495,3510,4347100,3510
85,2018-10-01,3385,3560,3385,3525,4127000,3525
86,2018-09-28,3445,3465,3310,3375,4605800,3375
87,2018-09-27,3460,3485,3390,3395,4759600,3395
88,2018-09-26,3495,3575,3470,3530,3573800,3530
89,2018-09-25,3700,3705,3480,3505,8131800,3505
90,2018-09-21,3650,3750,3625,3740,5356000,3740
91,2018-09-20,3550,3625,3540,3575,5171600,3575
92,2018-09-19,3425,3530,3410,3500,4662900,3500
93,2018-09-18,3245,3375,3175,3315,4981000,3315
94,2018-09-14,3150,3355,3135,3315,6284400,3315
95,2018-09-13,3045,3150,3045,3080,2624000,3080
96,2018-09-12,3160,3170,3025,3090,3716500,3090
97,2018-09-11,3230,3240,3155,3160,3187700,3160
98,2018-09-10,3255,3305,3225,3235,2505800,3235
99,2018-09-07,3370,3375,3265,3270,3606100,3270
100,2018-09-06,3450,3475,3415,3435,1779100,3435
101,2018-09-05,3590,3600,3460,3475,3182600,3475
102,2018-09-04,3630,3670,3615,3635,1714800,3635
103,2018-09-03,3755,3760,3630,3630,1581200,3630
104,2018-08-31,3670,3740,3645,3730,1930800,3730
105,2018-08-30,3765,3775,3710,3740,1785600,3740
