,date,closing price
0,2017-01-04,5586
1,2017-01-05,5679
2,2017-01-06,5685
3,2017-01-10,5716
4,2017-01-11,5716
5,2017-01-12,5504
6,2017-01-13,5584
7,2017-01-16,5563
8,2017-01-17,5471
9,2017-01-18,5488
10,2017-01-19,5527
11,2017-01-20,5471
12,2017-01-23,5518
13,2017-01-24,5433
14,2017-01-25,5413
15,2017-01-26,5531
16,2017-01-27,5532
17,2017-01-30,5528
18,2017-01-31,5425
19,2017-02-01,5443
20,2017-02-02,5452
21,2017-02-03,5634
22,2017-02-06,5644
23,2017-02-07,5605
24,2017-02-08,5614
25,2017-02-09,5548
26,2017-02-10,5648
27,2017-02-13,5650
28,2017-02-14,5410
29,2017-02-15,5494
30,2017-02-16,5451
31,2017-02-17,5470
32,2017-02-20,5490
33,2017-02-21,5547
34,2017-02-22,5554
35,2017-02-23,5664
36,2017-02-24,5636
37,2017-02-27,5507
38,2017-02-28,5498
39,2017-03-01,5589
40,2017-03-02,5655
41,2017-03-03,5599
42,2017-03-06,5577
43,2017-03-07,5579
44,2017-03-08,5563
45,2017-03-09,5543
46,2017-03-10,5684
47,2017-03-13,5681
48,2017-03-14,5665
49,2017-03-15,5733
50,2017-03-16,5729
51,2017-03-17,5646
52,2017-03-21,5635
53,2017-03-22,5577
54,2017-03-23,5634
55,2017-03-24,5777
56,2017-03-27,5790
57,2017-03-28,5846
58,2017-03-29,5874
59,2017-03-30,5800
60,2017-03-31,5748
61,2017-04-03,5811
62,2017-04-04,5891
63,2017-04-05,5882
64,2017-04-06,5848
65,2017-04-07,5869
66,2017-04-10,5774
67,2017-04-11,5776
68,2017-04-12,5728
69,2017-04-13,5708
70,2017-04-14,5532
71,2017-04-17,5595
72,2017-04-18,5618
73,2017-04-19,5590
74,2017-04-20,5555
75,2017-04-21,5587
76,2017-04-24,5781
77,2017-04-25,5785
78,2017-04-26,5728
79,2017-04-27,5686
80,2017-04-28,5733
81,2017-05-01,5776
82,2017-05-02,5853
83,2017-05-08,6079
84,2017-05-09,6045
85,2017-05-10,6183
86,2017-05-11,6124
87,2017-05-12,6169
88,2017-05-15,6166
89,2017-05-16,6187
90,2017-05-17,6196
91,2017-05-18,6172
92,2017-05-19,6128
93,2017-05-22,6074
94,2017-05-23,6066
95,2017-05-24,6085
96,2017-05-25,6101
97,2017-05-26,6027
98,2017-05-29,6043
99,2017-05-30,5987
100,2017-05-31,5919
101,2017-06-01,5990
102,2017-06-02,5929
103,2017-06-05,5968
104,2017-06-06,5914
105,2017-06-07,5922
106,2017-06-08,5910
107,2017-06-09,5920
108,2017-06-12,5890
109,2017-06-13,5925
110,2017-06-14,5969
111,2017-06-15,6067
112,2017-06-16,6158
113,2017-06-19,6284
114,2017-06-20,6277
115,2017-06-21,6282
116,2017-06-22,6295
117,2017-06-23,6335
118,2017-06-26,6419
119,2017-06-27,6314
120,2017-06-28,6265
121,2017-06-29,6276
122,2017-06-30,6259
123,2017-07-03,6168
124,2017-07-04,6196
125,2017-07-05,6137
126,2017-07-06,6048
127,2017-07-07,6028
128,2017-07-10,6004
129,2017-07-11,5995
130,2017-07-12,5914
131,2017-07-13,5913
132,2017-07-14,5950
133,2017-07-18,5944
134,2017-07-19,5952
135,2017-07-20,6013
136,2017-07-21,5923
137,2017-07-24,5910
138,2017-07-25,6013
139,2017-07-26,6058
140,2017-07-27,5999
141,2017-07-28,5956
142,2017-07-31,5896
143,2017-08-01,5884
144,2017-08-02,5908
145,2017-08-03,5902
146,2017-08-04,5836
147,2017-08-07,5865
148,2017-08-08,5842
149,2017-08-09,5813
150,2017-08-10,5791
151,2017-08-14,5664
152,2017-08-15,5710
153,2017-08-16,5718
154,2017-08-17,5733
155,2017-08-18,5693
156,2017-08-21,5613
157,2017-08-22,5593
158,2017-08-23,5632
159,2017-08-24,5627
160,2017-08-25,5681
161,2017-08-28,5784
162,2017-08-29,5796
163,2017-08-30,5810
164,2017-08-31,5795
165,2017-09-01,5793
166,2017-09-04,5725
167,2017-09-05,5689
168,2017-09-06,5730
169,2017-09-07,5741
170,2017-09-08,5672
171,2017-09-11,5797
172,2017-09-12,5854
173,2017-09-13,5837
174,2017-09-14,5819
175,2017-09-15,5963
176,2017-09-19,5959
177,2017-09-20,5902
178,2017-09-21,5950
179,2017-09-22,5964
180,2017-09-25,6022
181,2017-09-26,6086
182,2017-09-27,6103
183,2017-09-28,6160
184,2017-09-29,6151
185,2017-10-02,6065
186,2017-10-03,6241
187,2017-10-04,6243
188,2017-10-05,6257
189,2017-10-06,6263
190,2017-10-10,6298
191,2017-10-11,6344
192,2017-10-12,6066
193,2017-10-13,6171
194,2017-10-16,6166
195,2017-10-17,6123
