,date,closing price
0,2017-01-04,1650
1,2017-01-05,1702
2,2017-01-06,1716
3,2017-01-10,1727
4,2017-01-11,1714
5,2017-01-12,1659
6,2017-01-13,1689
7,2017-01-16,1680
8,2017-01-17,1642
9,2017-01-18,1651
10,2017-01-19,1671
11,2017-01-20,1695
12,2017-01-23,1674
13,2017-01-24,1650
14,2017-01-25,1657
15,2017-01-26,1684
16,2017-01-27,1695
17,2017-01-30,1651
18,2017-01-31,1633
19,2017-02-01,1654
20,2017-02-02,1616
21,2017-02-03,1574
22,2017-02-06,1605
23,2017-02-07,1571
24,2017-02-08,1579
25,2017-02-09,1606
26,2017-02-10,1665
27,2017-02-13,1693
28,2017-02-14,1661
29,2017-02-15,1689
30,2017-02-16,1699
31,2017-02-17,1685
32,2017-02-20,1720
33,2017-02-21,1770
34,2017-02-22,1774
35,2017-02-23,1763
36,2017-02-24,1738
37,2017-02-27,1717
38,2017-02-28,1726
39,2017-03-01,1720
40,2017-03-02,1763
41,2017-03-03,1732
42,2017-03-06,1735
43,2017-03-07,1734
44,2017-03-08,1719
45,2017-03-09,1737
46,2017-03-10,1780
47,2017-03-13,1780
48,2017-03-14,1774
49,2017-03-15,1783
50,2017-03-16,1777
51,2017-03-17,1780
52,2017-03-21,1792
53,2017-03-22,1719
54,2017-03-23,1698
55,2017-03-24,1714
56,2017-03-27,1670
57,2017-03-28,1696
58,2017-03-29,1702
59,2017-03-30,1672
60,2017-03-31,1650
61,2017-04-03,1660
62,2017-04-04,1612
63,2017-04-05,1609
64,2017-04-06,1575
65,2017-04-07,1581
66,2017-04-10,1605
67,2017-04-11,1552
68,2017-04-12,1521
69,2017-04-13,1516
70,2017-04-14,1532
71,2017-04-17,1536
72,2017-04-18,1555
73,2017-04-19,1570
74,2017-04-20,1593
75,2017-04-21,1597
76,2017-04-24,1628
77,2017-04-25,1641
78,2017-04-26,1639
79,2017-04-27,1619
80,2017-04-28,1605
81,2017-05-01,1591
82,2017-05-02,1653
83,2017-05-08,1684
84,2017-05-09,1664
85,2017-05-10,1655
86,2017-05-11,1627
87,2017-05-12,1633
88,2017-05-15,1641
89,2017-05-16,1601
90,2017-05-17,1578
91,2017-05-18,1554
92,2017-05-19,1566
93,2017-05-22,1578
94,2017-05-23,1567
95,2017-05-24,1599
96,2017-05-25,1591
97,2017-05-26,1572
98,2017-05-29,1585
99,2017-05-30,1563
100,2017-05-31,1565
101,2017-06-01,1603
102,2017-06-02,1670
103,2017-06-05,1649
104,2017-06-06,1619
105,2017-06-07,1628
106,2017-06-08,1602
107,2017-06-09,1649
108,2017-06-12,1662
109,2017-06-13,1637
110,2017-06-14,1646
111,2017-06-15,1667
112,2017-06-16,1682
113,2017-06-19,1681
114,2017-06-20,1696
115,2017-06-21,1650
116,2017-06-22,1633
117,2017-06-23,1639
118,2017-06-26,1633
119,2017-06-27,1614
120,2017-06-28,1607
121,2017-06-29,1746
122,2017-06-30,1724
123,2017-07-03,1723
124,2017-07-04,1713
125,2017-07-05,1698
126,2017-07-06,1666
127,2017-07-07,1630
128,2017-07-10,1642
129,2017-07-11,1641
130,2017-07-12,1621
131,2017-07-13,1621
132,2017-07-14,1607
133,2017-07-18,1605
134,2017-07-19,1610
135,2017-07-20,1626
136,2017-07-21,1613
137,2017-07-24,1596
138,2017-07-25,1566
139,2017-07-26,1578
140,2017-07-27,1567
141,2017-07-28,1569
142,2017-07-31,1579
143,2017-08-01,1598
144,2017-08-02,1601
145,2017-08-03,1578
146,2017-08-04,1590
147,2017-08-07,1584
148,2017-08-08,1593
149,2017-08-09,1585
150,2017-08-10,1595
151,2017-08-14,1569
152,2017-08-15,1587
153,2017-08-16,1580
154,2017-08-17,1566
155,2017-08-18,1526
156,2017-08-21,1524
157,2017-08-22,1535
158,2017-08-23,1575
159,2017-08-24,1534
160,2017-08-25,1525
161,2017-08-28,1527
162,2017-08-29,1503
163,2017-08-30,1531
164,2017-08-31,1535
165,2017-09-01,1510
166,2017-09-04,1504
167,2017-09-05,1494
168,2017-09-06,1493
169,2017-09-07,1483
170,2017-09-08,1465
171,2017-09-11,1471
172,2017-09-12,1503
173,2017-09-13,1523
174,2017-09-14,1495
175,2017-09-15,1431
176,2017-09-19,1497
177,2017-09-20,1486
178,2017-09-21,1547
179,2017-09-22,1512
180,2017-09-25,1531
181,2017-09-26,1535
182,2017-09-27,1538
183,2017-09-28,1563
184,2017-09-29,1555
185,2017-10-02,1555
186,2017-10-03,1576
187,2017-10-04,1586
188,2017-10-05,1595
189,2017-10-06,1595
190,2017-10-10,1607
191,2017-10-11,1586
192,2017-10-12,1635
193,2017-10-13,1672
194,2017-10-16,1686
195,2017-10-17,1695
196,2017-10-18,1741
197,2017-10-19,1715
198,2017-10-20,1712
199,2017-10-23,1723
200,2017-10-24,1735
201,2017-10-25,1701
202,2017-10-26,1658
203,2017-10-27,1701
204,2017-10-30,1668
205,2017-10-31,1668
206,2017-11-01,1684
207,2017-11-02,1712
208,2017-11-06,1711
209,2017-11-07,1754
210,2017-11-08,1750
211,2017-11-09,1796
212,2017-11-10,1795
213,2017-11-13,1759
214,2017-11-15,1721
215,2017-11-16,1752
216,2017-11-17,1762
217,2017-11-20,1752
218,2017-11-21,1787
219,2017-11-22,1780
220,2017-11-24,1773
221,2017-11-27,1784
222,2017-11-28,1767
223,2017-11-29,1831
224,2017-11-30,1895
225,2017-12-01,1899
226,2017-12-04,1932
227,2017-12-05,1934
228,2017-12-06,1905
229,2017-12-07,1967
230,2017-12-08,1966
231,2017-12-11,1972
232,2017-12-12,1964
233,2017-12-13,1978
234,2017-12-14,1984
235,2017-12-15,1988
236,2017-12-18,1988
237,2017-12-19,1979
238,2017-12-20,1991
239,2017-12-21,1978
240,2017-12-22,1969
241,2017-12-25,1989
242,2017-12-26,2018
243,2017-12-27,2142
244,2017-12-28,2132
245,2017-12-29,2123
