,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2018-01-04,6188,6286,6154,6283,1357100,6283
1,2018-01-05,6286,6325,6259,6324,1121800,6324
2,2018-01-09,6354,6396,6341,6370,858700,6370
3,2018-01-10,6213,6271,6190,6237,1607000,6237
4,2018-01-11,6202,6214,6159,6181,961800,6181
5,2018-01-12,6161,6168,6112,6143,1342400,6143
6,2018-01-15,6143,6185,6115,6172,832900,6172
7,2018-01-16,6179,6215,6163,6209,785300,6209
8,2018-01-17,6185,6188,6124,6167,1359900,6167
9,2018-01-18,6209,6249,6112,6135,1715700,6135
10,2018-01-19,6161,6205,6139,6154,890500,6154
11,2018-01-22,6147,6220,6129,6213,1097000,6213
12,2018-01-23,6218,6309,6209,6262,1309900,6262
13,2018-01-24,6239,6287,6225,6280,820000,6280
14,2018-01-25,6271,6306,6220,6237,797300,6237
15,2018-01-26,6253,6307,6242,6262,943300,6262
16,2018-01-29,6265,6291,6202,6217,984800,6217
17,2018-01-30,6210,6234,6118,6140,1227800,6140
18,2018-01-31,6110,6119,6033,6037,1713900,6037
19,2018-02-01,6099,6238,6091,6228,1345900,6228
20,2018-02-02,6181,6303,6108,6236,1789700,6236
21,2018-02-05,6317,6333,6105,6105,2300100,6105
22,2018-02-06,5892,5892,5462,5534,4236900,5534
23,2018-02-07,5722,5783,5613,5614,2647500,5614
24,2018-02-08,5620,5660,5546,5632,3249400,5632
25,2018-02-09,5464,5502,5432,5461,2931100,5461
26,2018-02-13,5626,5638,5427,5445,2010200,5445
27,2018-02-14,5435,5469,5396,5447,1617300,5447
28,2018-02-15,5470,5541,5456,5484,1134400,5484
29,2018-02-16,5501,5625,5497,5583,1068300,5583
30,2018-02-19,5622,5634,5552,5605,1068000,5605
31,2018-02-20,5580,5594,5552,5577,878100,5577
32,2018-02-21,5540,5560,5494,5530,1197500,5530
33,2018-02-22,5470,5483,5435,5460,1218200,5460
34,2018-02-23,5473,5541,5452,5537,1261900,5537
35,2018-02-26,5775,5777,5624,5688,2143100,5688
36,2018-02-27,5740,5758,5689,5716,1622600,5716
37,2018-02-28,5715,5720,5591,5591,1813200,5591
38,2018-03-01,5540,5561,5503,5520,1224600,5520
39,2018-03-02,5454,5486,5397,5422,1769700,5422
40,2018-03-05,5371,5419,5356,5389,1016700,5389
41,2018-03-06,5471,5500,5456,5483,1162200,5483
42,2018-03-07,5433,5505,5394,5433,1669600,5433
43,2018-03-08,5573,5593,5516,5545,1846900,5545
44,2018-03-09,5630,5686,5537,5576,2286300,5576
45,2018-03-12,5658,5658,5521,5543,1158000,5543
46,2018-03-13,5507,5576,5492,5572,804400,5572
47,2018-03-14,5571,5572,5531,5563,1129200,5563
48,2018-03-15,5569,5579,5493,5506,1244900,5506
49,2018-03-16,5544,5544,5458,5485,1771400,5485
50,2018-03-19,5468,5485,5409,5421,911900,5421
51,2018-03-20,5400,5483,5392,5401,1411900,5401
52,2018-03-22,5391,5454,5383,5454,1628500,5454
53,2018-03-23,5302,5358,5206,5222,2698500,5222
54,2018-03-26,5200,5357,5200,5357,2363800,5357
55,2018-03-27,5390,5461,5367,5450,1958700,5450
56,2018-03-28,5328,5450,5323,5447,1317600,5447
57,2018-03-29,5508,5526,5439,5485,1169600,5485
58,2018-03-30,5526,5527,5461,5491,973000,5491
59,2018-04-02,5480,5515,5450,5453,994300,5453
60,2018-04-03,5400,5487,5361,5463,1483800,5463
61,2018-04-04,5470,5475,5363,5414,1724000,5414
62,2018-04-05,5485,5605,5446,5551,1871100,5551
63,2018-04-06,5523,5617,5476,5596,1585300,5596
64,2018-04-09,5590,5652,5570,5640,968400,5640
65,2018-04-10,5611,5669,5541,5582,1416800,5582
66,2018-04-11,5530,5553,5471,5501,1030800,5501
67,2018-04-12,5467,5531,5462,5497,915800,5497
68,2018-04-13,5450,5478,5401,5436,1393800,5436
69,2018-04-16,5445,5521,5416,5519,899500,5519
70,2018-04-17,5496,5554,5486,5536,907100,5536
71,2018-04-18,5535,5577,5511,5550,913400,5550
72,2018-04-19,5584,5597,5508,5515,1022500,5515
73,2018-04-20,5501,5533,5467,5497,1269800,5497
74,2018-04-23,5512,5535,5478,5510,840400,5510
75,2018-04-24,5563,5643,5536,5618,1310400,5618
76,2018-04-25,5617,5665,5576,5637,1187000,5637
77,2018-04-26,5637,5639,5560,5580,1610000,5580
78,2018-04-27,5630,5660,5617,5634,1037500,5634
79,2018-05-01,5650,5712,5638,5656,1522200,5656
80,2018-05-02,5687,5690,5606,5659,1508600,5659
81,2018-05-07,5629,5660,5536,5651,1367300,5651
82,2018-05-08,5603,5699,5602,5685,1044500,5685
83,2018-05-09,5560,5620,5428,5477,2387000,5477
84,2018-05-10,5577,5677,5510,5668,1716600,5668
85,2018-05-11,5675,5747,5665,5740,1623400,5740
86,2018-05-14,5747,5763,5719,5727,980100,5727
87,2018-05-15,5679,5754,5643,5723,1113000,5723
88,2018-05-16,5704,5737,5690,5728,790100,5728
89,2018-05-17,5748,5776,5729,5754,977500,5754
90,2018-05-18,5777,5777,5725,5757,1004800,5757
91,2018-05-21,5750,5786,5733,5748,898000,5748
92,2018-05-22,5709,5716,5649,5681,791400,5681
93,2018-05-23,5651,5688,5611,5642,1072000,5642
94,2018-05-24,5637,5667,5613,5661,973700,5661
95,2018-05-25,5658,5711,5631,5671,778600,5671
96,2018-05-28,5684,5688,5620,5636,725900,5636
97,2018-05-29,5651,5680,5624,5650,759600,5650
98,2018-05-30,5519,5573,5519,5547,1411300,5547
99,2018-05-31,5595,5737,5577,5714,2977700,5714
100,2018-06-01,5736,5799,5703,5705,1367800,5705
101,2018-06-04,5740,5757,5694,5698,815500,5698
102,2018-06-05,5670,5717,5591,5617,1297300,5617
103,2018-06-06,5591,5670,5587,5645,805600,5645
104,2018-06-07,5730,5749,5700,5710,1274300,5710
105,2018-06-08,5711,5715,5627,5645,1399400,5645
106,2018-06-11,5667,5730,5659,5710,764700,5710
107,2018-06-12,5750,5777,5701,5759,1001600,5759
108,2018-06-13,5775,5794,5722,5748,654100,5748
109,2018-06-14,5723,5744,5644,5711,1163000,5711
110,2018-06-15,5745,5844,5735,5786,1769600,5786
111,2018-06-18,5800,5821,5756,5795,1017700,5795
112,2018-06-19,5797,5808,5662,5673,1347400,5673
113,2018-06-20,5694,5781,5670,5781,1464900,5781
114,2018-06-21,5749,5801,5727,5740,847100,5740
115,2018-06-22,5710,5745,5625,5667,1105700,5667
116,2018-06-25,5710,5727,5606,5610,890300,5610
117,2018-06-26,5610,5649,5566,5642,793000,5642
118,2018-06-27,5669,5728,5650,5686,1586500,5686
119,2018-06-28,5636,5654,5590,5632,1058400,5632
120,2018-06-29,5672,5699,5613,5691,1108800,5691
121,2018-07-02,5648,5651,5469,5472,1403300,5472
122,2018-07-03,5507,5535,5437,5492,1485200,5492
123,2018-07-04,5468,5515,5437,5495,815800,5495
124,2018-07-05,5519,5529,5410,5453,1510500,5453
125,2018-07-06,5480,5604,5474,5559,1420500,5559
126,2018-07-09,5566,5626,5559,5597,735100,5597
127,2018-07-10,5595,5648,5581,5605,1045400,5605
128,2018-07-11,5590,5592,5495,5516,1169100,5516
129,2018-07-12,5575,5606,5529,5539,1081600,5539
130,2018-07-13,5536,5595,5507,5552,1366500,5552
131,2018-07-17,5553,5733,5550,5688,1423300,5688
132,2018-07-18,5752,5796,5714,5714,1011400,5714
133,2018-07-19,5765,5778,5731,5735,987900,5735
134,2018-07-20,5741,5787,5702,5751,1044700,5751
135,2018-07-23,5752,5781,5702,5722,824700,5722
136,2018-07-24,5776,5800,5689,5695,937300,5695
137,2018-07-25,5742,5756,5639,5650,958400,5650
138,2018-07-26,5677,5729,5654,5729,901600,5729
139,2018-07-27,5760,5775,5721,5755,784600,5755
140,2018-07-30,5690,5981,5656,5916,2434900,5916
141,2018-07-31,5968,6099,5945,6076,3112100,6076
142,2018-08-01,6129,6174,6104,6158,1763800,6158
143,2018-08-02,6174,6210,6030,6069,1310000,6069
144,2018-08-03,6074,6089,6020,6051,975700,6051
145,2018-08-06,6050,6079,6017,6033,861800,6033
146,2018-08-07,6010,6064,5992,6046,808400,6046
147,2018-08-08,6046,6077,6011,6037,828000,6037
148,2018-08-09,6037,6072,6016,6057,760900,6057
149,2018-08-10,6084,6090,6026,6040,1147900,6040
150,2018-08-13,6011,6016,5940,5970,1037500,5970
151,2018-08-14,5994,6076,5976,6073,1114700,6073
152,2018-08-15,6051,6144,6030,6139,1050500,6139
153,2018-08-16,6116,6158,6036,6143,1191700,6143
154,2018-08-17,6148,6209,6143,6189,979800,6189
155,2018-08-20,6189,6189,6111,6149,773400,6149
156,2018-08-21,6180,6225,6128,6211,1130100,6211
157,2018-08-22,6207,6218,6142,6163,1072300,6163
158,2018-08-23,6209,6288,6197,6249,1288400,6249
159,2018-08-24,6222,6265,6189,6258,1086300,6258
160,2018-08-27,6288,6359,6274,6345,1124800,6345
161,2018-08-28,6346,6366,6292,6307,1241000,6307
162,2018-08-29,6336,6404,6334,6366,1274800,6366
