,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2018-01-04,1005,1028,1001,1027,1561400,1027
1,2018-01-05,1043,1059,1040,1058,2372400,1058
2,2018-01-09,1070,1107,1070,1102,2924200,1102
3,2018-01-10,1096,1110,1092,1101,2069900,1101
4,2018-01-11,1090,1109,1081,1109,1632300,1109
5,2018-01-12,1111,1121,1106,1118,2380100,1118
6,2018-01-15,1129,1146,1118,1122,1611900,1122
7,2018-01-16,1134,1145,1118,1142,1618300,1142
8,2018-01-17,1134,1141,1126,1131,1335000,1131
9,2018-01-18,1152,1158,1124,1127,2346900,1127
10,2018-01-19,1130,1149,1129,1145,1356800,1145
11,2018-01-22,1156,1165,1148,1164,1797900,1164
12,2018-01-23,1176,1184,1173,1177,1998800,1177
13,2018-01-24,1174,1180,1156,1166,1561100,1166
14,2018-01-25,1154,1158,1127,1137,2389700,1137
15,2018-01-26,1148,1156,1122,1125,2260100,1125
16,2018-01-29,1119,1129,1107,1121,2432800,1121
17,2018-01-30,1107,1110,1073,1077,3458000,1077
18,2018-01-31,1083,1092,1067,1068,2666200,1068
19,2018-02-01,1074,1089,1068,1089,1427300,1089
20,2018-02-02,1082,1084,1068,1075,1480000,1075
21,2018-02-05,925,928,891,897,12383300,897
22,2018-02-06,867,872,827,850,7602900,850
23,2018-02-07,880,881,839,840,5861900,840
24,2018-02-08,839,850,829,843,4044200,843
25,2018-02-09,798,807,792,807,4601900,807
26,2018-02-13,822,824,786,788,3819000,788
27,2018-02-14,786,792,762,766,3396800,766
28,2018-02-15,767,772,757,762,4107300,762
29,2018-02-16,747,766,728,764,5636200,764
30,2018-02-19,771,780,767,776,2736100,776
31,2018-02-20,770,772,760,771,2534200,771
32,2018-02-21,765,776,756,769,3570700,769
33,2018-02-22,757,763,748,761,3005800,761
34,2018-02-23,762,791,760,783,3535800,783
35,2018-02-26,793,795,777,778,2828400,778
36,2018-02-27,789,791,777,778,2800800,778
37,2018-02-28,781,798,780,788,3894100,788
38,2018-03-01,780,781,769,772,2332400,772
39,2018-03-02,750,756,743,747,2971600,747
40,2018-03-05,741,743,721,725,2176600,725
41,2018-03-06,739,756,738,739,2293500,739
42,2018-03-07,732,741,726,731,2276500,731
43,2018-03-08,736,751,736,742,2114100,742
44,2018-03-09,743,771,740,763,5495900,763
45,2018-03-12,774,775,762,768,2288600,768
46,2018-03-13,759,771,751,769,1904700,769
47,2018-03-14,756,767,754,765,1466000,765
48,2018-03-15,762,764,743,756,2165600,756
49,2018-03-16,759,769,756,756,2206500,756
50,2018-03-19,749,760,739,743,1973000,743
51,2018-03-20,733,747,732,739,2055100,739
52,2018-03-22,737,743,727,733,2509300,733
53,2018-03-23,706,712,696,699,3399100,699
54,2018-03-26,692,702,684,702,2311900,702
55,2018-03-27,711,727,705,724,2169100,724
56,2018-03-28,702,715,701,713,1961100,713
57,2018-03-29,717,721,701,707,2380100,707
58,2018-03-30,717,729,715,722,2215800,722
59,2018-04-02,723,732,716,716,1399000,716
60,2018-04-03,705,707,700,704,3145300,704
61,2018-04-04,710,711,699,701,1914800,701
62,2018-04-05,708,711,700,705,2385600,705
63,2018-04-06,706,710,702,705,2073700,705
64,2018-04-09,698,701,683,690,2613200,690
65,2018-04-10,685,708,677,706,3869700,706
66,2018-04-11,707,718,706,711,2391000,711
67,2018-04-12,705,706,692,693,2059100,693
68,2018-04-13,700,719,697,714,2215800,714
69,2018-04-16,714,723,708,715,1520000,715
70,2018-04-17,712,716,704,711,1482000,711
71,2018-04-18,717,731,713,729,1469200,729
72,2018-04-19,735,754,734,746,2204200,746
73,2018-04-20,745,745,731,740,2011400,740
74,2018-04-23,742,753,735,746,1564500,746
75,2018-04-24,750,758,745,756,1683300,756
76,2018-04-25,747,752,740,752,1880000,752
77,2018-04-26,757,759,746,748,1985000,748
78,2018-04-27,755,757,741,750,2139600,750
79,2018-05-01,743,750,740,746,1581300,746
80,2018-05-02,752,755,749,751,1163400,751
81,2018-05-07,750,750,739,744,1219200,744
82,2018-05-08,741,756,740,753,1511200,753
83,2018-05-09,752,753,740,743,1444700,743
84,2018-05-10,740,752,736,743,1574800,743
85,2018-05-11,743,749,740,743,1681800,743
86,2018-05-14,800,822,791,807,5844400,807
87,2018-05-15,809,809,780,790,2628100,790
88,2018-05-16,784,786,765,776,2884900,776
89,2018-05-17,782,811,782,806,3096700,806
90,2018-05-18,809,814,806,810,2382900,810
91,2018-05-21,815,853,814,840,5035300,840
92,2018-05-22,835,837,818,825,2417300,825
93,2018-05-23,816,817,800,800,2279400,800
94,2018-05-24,795,795,764,772,3065600,772
95,2018-05-25,773,773,752,756,2714400,756
96,2018-05-28,762,771,758,768,1866100,768
97,2018-05-29,768,773,754,762,1967700,762
98,2018-05-30,748,748,736,743,2008800,743
99,2018-05-31,751,757,731,742,3370700,742
100,2018-06-01,736,759,736,754,2218600,754
101,2018-06-04,768,776,759,772,2056600,772
102,2018-06-05,774,783,772,776,1748600,776
103,2018-06-06,773,783,769,779,1408400,779
104,2018-06-07,788,793,779,779,1594800,779
105,2018-06-08,771,775,755,756,2712900,756
106,2018-06-11,760,777,760,773,2620600,773
107,2018-06-12,784,790,770,781,2251100,781
108,2018-06-13,784,787,775,784,1288600,784
109,2018-06-14,781,781,768,769,1653800,769
110,2018-06-15,773,774,755,756,1857800,756
111,2018-06-18,752,755,733,737,1483700,737
112,2018-06-19,731,738,717,724,2563200,724
113,2018-06-20,717,726,701,724,2311100,724
114,2018-06-21,717,724,709,715,2728800,715
115,2018-06-22,702,706,692,701,3768700,701
116,2018-06-25,702,707,688,688,2461800,688
117,2018-06-26,682,698,676,696,2331800,696
118,2018-06-27,699,703,689,693,1190800,693
119,2018-06-28,694,701,687,698,1168800,698
120,2018-06-29,698,706,691,705,1019000,705
121,2018-07-02,702,712,688,689,1528300,689
122,2018-07-03,693,697,674,684,1777800,684
123,2018-07-04,688,692,680,685,1633900,685
124,2018-07-05,684,684,658,661,3223400,661
125,2018-07-06,660,667,655,663,3071800,663
126,2018-07-09,666,679,666,675,1410300,675
127,2018-07-10,685,698,678,692,1660200,692
128,2018-07-11,685,686,668,675,1473600,675
129,2018-07-12,675,675,661,667,1654100,667
130,2018-07-13,677,693,676,685,2657100,685
131,2018-07-17,684,694,677,688,1886600,688
132,2018-07-18,694,699,688,688,1036400,688
133,2018-07-19,694,704,692,701,1506800,701
134,2018-07-20,697,700,681,684,1929400,684
135,2018-07-23,677,682,672,672,1828300,672
136,2018-07-24,680,695,678,692,1522900,692
137,2018-07-25,699,706,698,705,1453100,705
138,2018-07-26,711,719,702,718,2193200,718
139,2018-07-27,725,729,719,728,2115400,728
140,2018-07-30,721,725,711,713,1690300,713
141,2018-07-31,716,721,711,717,1854500,717
142,2018-08-01,720,741,712,731,3606700,731
143,2018-08-02,725,730,705,707,1957900,707
144,2018-08-03,705,706,692,700,1756300,700
145,2018-08-06,692,701,687,688,1505200,688
146,2018-08-07,682,690,674,680,2044700,680
147,2018-08-08,682,687,677,683,2221700,683
148,2018-08-09,683,687,678,680,1411700,680
149,2018-08-10,678,678,662,664,2343700,664
150,2018-08-13,660,661,640,642,2514500,642
151,2018-08-14,646,660,644,660,1700600,660
152,2018-08-15,653,660,645,652,2179200,652
153,2018-08-16,637,640,626,637,3233500,637
