,date,closing price
0,2014-01-06,2934
1,2014-01-07,2911
2,2014-01-08,2951
3,2014-01-09,2917
4,2014-01-10,2928
5,2014-01-14,2838
6,2014-01-15,2965
7,2014-01-16,2963
8,2014-01-17,2965
9,2014-01-20,2957
10,2014-01-21,2988
11,2014-01-22,3000
12,2014-01-23,2964
13,2014-01-24,2828
14,2014-01-27,2716
15,2014-01-28,2708
16,2014-01-29,2790
17,2014-01-30,2705
18,2014-01-31,2711
19,2014-02-03,2607
20,2014-02-04,2450
21,2014-02-05,2534
22,2014-02-06,2551
23,2014-02-07,2634
24,2014-02-10,2611
25,2014-02-12,2699
26,2014-02-13,2616
27,2014-02-14,2619
28,2014-02-17,2719
29,2014-02-18,2745
30,2014-02-19,2720
31,2014-02-20,2632
32,2014-02-21,2726
33,2014-02-24,2660
34,2014-02-25,2687
35,2014-02-26,2640
36,2014-02-27,2591
37,2014-02-28,2569
38,2014-03-03,2489
39,2014-03-04,2520
40,2014-03-05,2550
41,2014-03-06,2628
42,2014-03-07,2654
43,2014-03-10,2623
44,2014-03-11,2681
45,2014-03-12,2593
46,2014-03-13,2563
47,2014-03-14,2448
48,2014-03-17,2429
49,2014-03-18,2439
50,2014-03-19,2440
51,2014-03-20,2391
52,2014-03-24,2450
53,2014-03-25,2469
54,2014-03-26,2538
55,2014-03-27,2565
56,2014-03-28,2564
57,2014-03-31,2652
58,2014-04-01,2658
59,2014-04-02,2634
60,2014-04-03,2689
61,2014-04-04,2692
62,2014-04-07,2650
63,2014-04-08,2583
64,2014-04-09,2547
65,2014-04-10,2531
66,2014-04-11,2478
67,2014-04-14,2490
68,2014-04-15,2485
69,2014-04-16,2568
70,2014-04-17,2563
71,2014-04-18,2596
72,2014-04-21,2597
73,2014-04-22,2577
74,2014-04-23,2575
75,2014-04-24,2586
76,2014-04-25,2614
77,2014-04-28,2565
78,2014-04-30,2549
79,2014-05-01,2653
80,2014-05-02,2688
81,2014-05-07,2572
82,2014-05-08,2612
83,2014-05-09,2638
84,2014-05-12,2646
85,2014-05-13,2701
86,2014-05-14,2741
87,2014-05-15,2684
88,2014-05-16,2649
89,2014-05-19,2632
90,2014-05-20,2639
91,2014-05-21,2651
92,2014-05-22,2746
93,2014-05-23,2802
94,2014-05-26,2790
95,2014-05-27,2810
96,2014-05-28,2840
97,2014-05-29,2848
98,2014-05-30,2828
99,2014-06-02,2872
100,2014-06-03,2812
101,2014-06-04,2874
102,2014-06-05,2868
103,2014-06-06,2892
104,2014-06-09,2894
105,2014-06-10,2846
106,2014-06-11,2864
107,2014-06-12,2813
108,2014-06-13,2797
109,2014-06-16,2771
110,2014-06-17,2763
111,2014-06-18,2790
112,2014-06-19,2836
113,2014-06-20,2816
114,2014-06-23,2805
115,2014-06-24,2794
116,2014-06-25,2782
117,2014-06-26,2786
118,2014-06-27,2724
119,2014-06-30,2728
120,2014-07-01,2759
121,2014-07-02,2784
122,2014-07-03,2760
123,2014-07-04,2727
124,2014-07-07,2720
125,2014-07-08,2666
126,2014-07-09,2677
127,2014-07-10,2661
128,2014-07-11,2640
129,2014-07-14,2686
130,2014-07-15,2722
131,2014-07-16,2667
132,2014-07-17,2675
133,2014-07-18,2606
134,2014-07-22,2662.5
135,2014-07-23,2661
136,2014-07-24,2655
137,2014-07-25,2668.5
138,2014-07-28,2694
139,2014-07-29,2677.5
140,2014-07-30,2669.5
141,2014-07-31,2639
142,2014-08-01,2586.5
143,2014-08-04,2567.5
144,2014-08-05,2515.5
145,2014-08-06,2468
146,2014-08-07,2470.5
147,2014-08-08,2400
148,2014-08-11,2524.5
149,2014-08-12,2555
150,2014-08-13,2544
151,2014-08-14,2577.5
152,2014-08-15,2564
153,2014-08-18,2549.5
154,2014-08-19,2549.5
155,2014-08-20,2530
156,2014-08-21,2581
157,2014-08-22,2561.5
158,2014-08-25,2569
159,2014-08-26,2564.5
160,2014-08-27,2583
161,2014-08-28,2565
162,2014-08-29,2513
163,2014-09-01,2508
164,2014-09-02,2549.5
165,2014-09-03,2553
166,2014-09-04,2558
167,2014-09-05,2551
168,2014-09-08,2583
169,2014-09-09,2609.5
170,2014-09-10,2643.5
171,2014-09-11,2669.5
172,2014-09-12,2647
173,2014-09-16,2621
174,2014-09-17,2594
175,2014-09-18,2653.5
176,2014-09-19,2702.5
177,2014-09-22,2705.5
178,2014-09-24,2666.5
179,2014-09-25,2714
180,2014-09-26,2675
181,2014-09-29,2702
182,2014-09-30,2661
183,2014-10-01,2648
184,2014-10-02,2562
185,2014-10-03,2569.5
186,2014-10-06,2573.5
187,2014-10-07,2587
188,2014-10-08,2549.5
189,2014-10-09,2513.5
190,2014-10-10,2470.5
191,2014-10-14,2426
192,2014-10-15,2461.5
193,2014-10-16,2401.5
194,2014-10-17,2366
195,2014-10-20,2435.5
196,2014-10-21,2400
197,2014-10-22,2456
198,2014-10-23,2473.5
199,2014-10-24,2480.5
200,2014-10-27,2509.5
201,2014-10-28,2529.5
202,2014-10-29,2582.5
203,2014-10-30,2610
204,2014-10-31,2749
205,2014-11-04,2903
206,2014-11-05,2920
207,2014-11-06,2870
208,2014-11-07,2873
209,2014-11-10,2891.5
210,2014-11-11,2910
211,2014-11-12,2895
212,2014-11-13,2965.5
213,2014-11-14,3010.5
214,2014-11-17,2881
215,2014-11-18,2966.5
216,2014-11-19,2916
217,2014-11-20,2897
218,2014-11-21,2885.5
