,date,closing price
0,2014-01-06,1362
1,2014-01-07,1340
2,2014-01-08,1348
3,2014-01-09,1338
4,2014-01-10,1344
5,2014-01-14,1296
6,2014-01-15,1328
7,2014-01-16,1314
8,2014-01-17,1340
9,2014-01-20,1328
10,2014-01-21,1326
11,2014-01-22,1330
12,2014-01-23,1306
13,2014-01-24,1288
14,2014-01-27,1220
15,2014-01-28,1224
16,2014-01-29,1266
17,2014-01-30,1256
18,2014-01-31,1232
19,2014-02-03,1184
20,2014-02-04,1160
21,2014-02-05,1168
22,2014-02-06,1178
23,2014-02-07,1208
24,2014-02-10,1226
25,2014-02-12,1230
26,2014-02-13,1190
27,2014-02-14,1158
28,2014-02-17,1164
29,2014-02-18,1196
30,2014-02-19,1176
31,2014-02-20,1144
32,2014-02-21,1198
33,2014-02-24,1184
34,2014-02-25,1236
35,2014-02-26,1214
36,2014-02-27,1206
37,2014-02-28,1190
38,2014-03-03,1166
39,2014-03-04,1182
40,2014-03-05,1202
41,2014-03-06,1202
42,2014-03-07,1196
43,2014-03-10,1198
44,2014-03-11,1210
45,2014-03-12,1154
46,2014-03-13,1164
47,2014-03-14,1090
48,2014-03-17,1080
49,2014-03-18,1086
50,2014-03-19,1056
51,2014-03-20,1026
52,2014-03-24,1086
53,2014-03-25,1070
54,2014-03-26,1040
55,2014-03-27,1068
56,2014-03-28,1090
57,2014-03-31,1060
58,2014-04-01,1046
59,2014-04-02,1068
60,2014-04-03,1056
61,2014-04-04,1082
62,2014-04-07,1064
63,2014-04-08,1032
64,2014-04-09,1002
65,2014-04-10,988
66,2014-04-11,986
67,2014-04-14,918
68,2014-04-15,912
69,2014-04-16,942
70,2014-04-17,942
71,2014-04-18,946
72,2014-04-21,942
73,2014-04-22,926
74,2014-04-23,940
75,2014-04-24,934
76,2014-04-25,928
77,2014-04-28,914
78,2014-04-30,914
79,2014-05-01,934
80,2014-05-02,942
81,2014-05-07,898
82,2014-05-08,912
83,2014-05-09,908
84,2014-05-12,896
85,2014-05-13,936
86,2014-05-14,938
87,2014-05-15,924
88,2014-05-16,910
89,2014-05-19,892
90,2014-05-20,910
91,2014-05-21,912
92,2014-05-22,952
93,2014-05-23,968
94,2014-05-26,988
95,2014-05-27,992
96,2014-05-28,986
97,2014-05-29,1008
98,2014-05-30,1002
99,2014-06-02,1036
100,2014-06-03,1036
101,2014-06-04,1026
102,2014-06-05,1018
103,2014-06-06,1026
104,2014-06-09,1024
105,2014-06-10,1018
106,2014-06-11,1018
107,2014-06-12,986
108,2014-06-13,1004
109,2014-06-16,984
110,2014-06-17,962
111,2014-06-18,964
112,2014-06-19,982
113,2014-06-20,992
114,2014-06-23,1000
115,2014-06-24,998
116,2014-06-25,982
117,2014-06-26,968
118,2014-06-27,948
119,2014-06-30,956
120,2014-07-01,960
121,2014-07-02,962
122,2014-07-03,956
123,2014-07-04,976
124,2014-07-07,970
125,2014-07-08,954
126,2014-07-09,946
127,2014-07-10,946
128,2014-07-11,940
129,2014-07-14,960
130,2014-07-15,964
131,2014-07-16,944
132,2014-07-17,940
133,2014-07-18,922
134,2014-07-22,928
135,2014-07-23,940
136,2014-07-24,936
137,2014-07-25,952
138,2014-07-28,968
139,2014-07-29,986
140,2014-07-30,984
141,2014-07-31,980
142,2014-08-01,960
143,2014-08-04,956
144,2014-08-05,942
145,2014-08-06,924
146,2014-08-07,934
147,2014-08-08,904
148,2014-08-11,934
149,2014-08-12,922
150,2014-08-13,920
151,2014-08-14,922
152,2014-08-15,932
153,2014-08-18,924
154,2014-08-19,942
155,2014-08-20,994
156,2014-08-21,1004
157,2014-08-22,984
158,2014-08-25,988
159,2014-08-26,978
160,2014-08-27,970
161,2014-08-28,968
162,2014-08-29,964
163,2014-09-01,972
164,2014-09-02,996
165,2014-09-03,986
166,2014-09-04,976
167,2014-09-05,1008
168,2014-09-08,1014
169,2014-09-09,1000
170,2014-09-10,992
171,2014-09-11,998
172,2014-09-12,1004
173,2014-09-16,968
174,2014-09-17,946
175,2014-09-18,956
176,2014-09-19,960
177,2014-09-22,946
178,2014-09-24,950
179,2014-09-25,946
180,2014-09-26,934
181,2014-09-29,946
182,2014-09-30,924
183,2014-10-01,908
184,2014-10-02,890
185,2014-10-03,898
186,2014-10-06,906
187,2014-10-07,894
188,2014-10-08,872
189,2014-10-09,870
190,2014-10-10,862
191,2014-10-14,842
192,2014-10-15,850
193,2014-10-16,814
194,2014-10-17,802
195,2014-10-20,826
196,2014-10-21,800
197,2014-10-22,830
198,2014-10-23,816
199,2014-10-24,828
200,2014-10-27,840
201,2014-10-28,840
202,2014-10-29,856
203,2014-10-30,870
204,2014-10-31,932
205,2014-11-04,956
206,2014-11-05,952
207,2014-11-06,920
208,2014-11-07,932
209,2014-11-10,930
210,2014-11-11,936
211,2014-11-12,932
212,2014-11-13,936
213,2014-11-14,932
214,2014-11-17,896
215,2014-11-18,908
216,2014-11-19,934
217,2014-11-20,934
218,2014-11-21,952
219,2014-11-25,946
220,2014-11-26,950
221,2014-11-27,932
222,2014-11-28,956
223,2014-12-01,956
224,2014-12-02,960
225,2014-12-03,952
226,2014-12-04,964
227,2014-12-05,956
228,2014-12-08,958
229,2014-12-09,958
230,2014-12-10,946
231,2014-12-11,946
232,2014-12-12,944
233,2014-12-15,940
234,2014-12-16,906
235,2014-12-17,910
236,2014-12-18,936
237,2014-12-19,964
238,2014-12-22,984
239,2014-12-24,1070
240,2014-12-25,1066
241,2014-12-26,1080
242,2014-12-29,1058
243,2014-12-30,1064
