,date,closing price
0,2014-01-06,2410
1,2014-01-07,2410
2,2014-01-08,2450
3,2014-01-09,2540
4,2014-01-10,2700
5,2014-01-14,2720
6,2014-01-15,2760
7,2014-01-16,2750
8,2014-01-17,2770
9,2014-01-20,2720
10,2014-01-21,2760
11,2014-01-22,2720
12,2014-01-23,2860
13,2014-01-24,2850
14,2014-01-27,2810
15,2014-01-28,2750
16,2014-01-29,2840
17,2014-01-30,2700
18,2014-01-31,2990
19,2014-02-03,2980
20,2014-02-04,2800
21,2014-02-05,2790
22,2014-02-06,2980
23,2014-02-07,3020
24,2014-02-10,3050
25,2014-02-12,3110
26,2014-02-13,3020
27,2014-02-14,3000
28,2014-02-17,3090
29,2014-02-18,3200
30,2014-02-19,3090
31,2014-02-20,3050
32,2014-02-21,3080
33,2014-02-24,3180
34,2014-02-25,3290
35,2014-02-26,3380
36,2014-02-27,3490
37,2014-02-28,3430
38,2014-03-03,3300
39,2014-03-04,3330
40,2014-03-05,3470
41,2014-03-06,3410
42,2014-03-07,3370
43,2014-03-10,3360
44,2014-03-11,3270
45,2014-03-12,3220
46,2014-03-13,3130
47,2014-03-14,3090
48,2014-03-17,2990
49,2014-03-18,3090
50,2014-03-19,3010
51,2014-03-20,2980
52,2014-03-24,3060
53,2014-03-25,2990
54,2014-03-26,3120
55,2014-03-27,3170
56,2014-03-28,3150
57,2014-03-31,3170
58,2014-04-01,3170
59,2014-04-02,3180
60,2014-04-03,3170
61,2014-04-04,3250
62,2014-04-07,3150
63,2014-04-08,3030
64,2014-04-09,2970
65,2014-04-10,2930
66,2014-04-11,2940
67,2014-04-14,2930
68,2014-04-15,2880
69,2014-04-16,2970
70,2014-04-17,2920
71,2014-04-18,2930
72,2014-04-21,2990
73,2014-04-22,2980
74,2014-04-23,3080
75,2014-04-24,3010
76,2014-04-25,3060
77,2014-04-28,3030
78,2014-04-30,2870
79,2014-05-01,2920
80,2014-05-02,2950
81,2014-05-07,2870
82,2014-05-08,2870
83,2014-05-09,2850
84,2014-05-12,2840
85,2014-05-13,2880
86,2014-05-14,2940
87,2014-05-15,2880
88,2014-05-16,2850
89,2014-05-19,2860
90,2014-05-20,2910
91,2014-05-21,2900
92,2014-05-22,2970
93,2014-05-23,2990
94,2014-05-26,3090
95,2014-05-27,3100
96,2014-05-28,3160
97,2014-05-29,3160
98,2014-05-30,3140
99,2014-06-02,3200
100,2014-06-03,3200
101,2014-06-04,3210
102,2014-06-05,3250
103,2014-06-06,3240
104,2014-06-09,3220
105,2014-06-10,3250
106,2014-06-11,3250
107,2014-06-12,3250
108,2014-06-13,3270
109,2014-06-16,3210
110,2014-06-17,3190
111,2014-06-18,3220
112,2014-06-19,3310
113,2014-06-20,3290
114,2014-06-23,3290
115,2014-06-24,3280
116,2014-06-25,3250
117,2014-06-26,3230
118,2014-06-27,3210
119,2014-06-30,3230
120,2014-07-01,3390
121,2014-07-02,3530
122,2014-07-03,3570
123,2014-07-04,3610
124,2014-07-07,3560
125,2014-07-08,3570
126,2014-07-09,3540
127,2014-07-10,3550
128,2014-07-11,3560
129,2014-07-14,3680
130,2014-07-15,3740
131,2014-07-16,3740
132,2014-07-17,3840
133,2014-07-18,3780
134,2014-07-22,3890
135,2014-07-23,3840
136,2014-07-24,3880
137,2014-07-25,3890
138,2014-07-28,3930
139,2014-07-29,3900
140,2014-07-30,3850
141,2014-07-31,4030
142,2014-08-01,3950
143,2014-08-04,3950
144,2014-08-05,3950
145,2014-08-06,3960
146,2014-08-07,3880
147,2014-08-08,3760
148,2014-08-11,3810
149,2014-08-12,3750
150,2014-08-13,3790
151,2014-08-14,3870
152,2014-08-15,3880
153,2014-08-18,3880
154,2014-08-19,3930
155,2014-08-20,3850
156,2014-08-21,3850
157,2014-08-22,3800
158,2014-08-25,3810
159,2014-08-26,3760
160,2014-08-27,3730
161,2014-08-28,3700
162,2014-08-29,3700
163,2014-09-01,3710
164,2014-09-02,3790
165,2014-09-03,3790
166,2014-09-04,3770
167,2014-09-05,3740
168,2014-09-08,3720
169,2014-09-09,3650
170,2014-09-10,3680
171,2014-09-11,3720
172,2014-09-12,3710
173,2014-09-16,3670
174,2014-09-17,3710
175,2014-09-18,3700
176,2014-09-19,3720
177,2014-09-22,3730
178,2014-09-24,3670
179,2014-09-25,3700
180,2014-09-26,3760
181,2014-09-29,3840
182,2014-09-30,3790
183,2014-10-01,3710
184,2014-10-02,3600
185,2014-10-03,3630
186,2014-10-06,3820
187,2014-10-07,3730
188,2014-10-08,3690
189,2014-10-09,3580
190,2014-10-10,3460
191,2014-10-14,3360
192,2014-10-15,3420
193,2014-10-16,3300
194,2014-10-17,3240
195,2014-10-20,3450
196,2014-10-21,3400
197,2014-10-22,3510
198,2014-10-23,3520
199,2014-10-24,3580
200,2014-10-27,3680
201,2014-10-28,3670
202,2014-10-29,3750
203,2014-10-30,3720
204,2014-10-31,3860
205,2014-11-04,3930
206,2014-11-05,3950
207,2014-11-06,3880
208,2014-11-07,3870
209,2014-11-10,3810
210,2014-11-11,3750
211,2014-11-12,3690
212,2014-11-13,3680
213,2014-11-14,3620
214,2014-11-17,3560
215,2014-11-18,3510
216,2014-11-19,3470
217,2014-11-20,3590
218,2014-11-21,3600
219,2014-11-25,3680
220,2014-11-26,3700
221,2014-11-27,3690
222,2014-11-28,3730
223,2014-12-01,3790
224,2014-12-02,3850
225,2014-12-03,3880
226,2014-12-04,3850
227,2014-12-05,3880
228,2014-12-08,3850
229,2014-12-09,3820
230,2014-12-10,3770
231,2014-12-11,3750
232,2014-12-12,3790
233,2014-12-15,3710
234,2014-12-16,3540
235,2014-12-17,3520
236,2014-12-18,3570
237,2014-12-19,3560
238,2014-12-22,3570
239,2014-12-24,3510
240,2014-12-25,3500
241,2014-12-26,3550
242,2014-12-29,3550
243,2014-12-30,3530
