,date,closing price
0,2015-01-05,1576
1,2015-01-06,1516
2,2015-01-07,1504
3,2015-01-08,1522
4,2015-01-09,1512
5,2015-01-13,1516
6,2015-01-14,1498
7,2015-01-15,1532
8,2015-01-16,1500
9,2015-01-19,1520
10,2015-01-20,1548
11,2015-01-21,1516
12,2015-01-22,1532
13,2015-01-23,1550
14,2015-01-26,1546
15,2015-01-27,1572
16,2015-01-28,1584
17,2015-01-29,1582
18,2015-01-30,1584
19,2015-02-02,1588
20,2015-02-03,1560
21,2015-02-04,1598
22,2015-02-05,1604
23,2015-02-06,1606
24,2015-02-09,1608
25,2015-02-10,1618
26,2015-02-12,1678
27,2015-02-13,1646
28,2015-02-16,1664
29,2015-02-17,1674
30,2015-02-18,1694
31,2015-02-19,1710
32,2015-02-20,1694
33,2015-02-23,1692
34,2015-02-24,1692
35,2015-02-25,1688
36,2015-02-26,1710
37,2015-02-27,1716
38,2015-03-02,1724
39,2015-03-03,1736
40,2015-03-04,1722
41,2015-03-05,1730
42,2015-03-06,1756
43,2015-03-09,1746
44,2015-03-10,1742
45,2015-03-11,1744
46,2015-03-12,1774
47,2015-03-13,1778
48,2015-03-16,1790
49,2015-03-17,1812
50,2015-03-18,1832
51,2015-03-19,1844
52,2015-03-20,1868
53,2015-03-23,1896
54,2015-03-24,1914
55,2015-03-25,1912
56,2015-03-26,1894
57,2015-03-27,1862
58,2015-03-30,1868
59,2015-03-31,1852
60,2015-04-01,1844
61,2015-04-02,1884
62,2015-04-03,1886
63,2015-04-06,1882
64,2015-04-07,1904
65,2015-04-08,1952
66,2015-04-09,1978
67,2015-04-10,1962
68,2015-04-13,1952
69,2015-04-14,1960
70,2015-04-15,1960
71,2015-04-16,1968
72,2015-04-17,1964
73,2015-04-20,1954
74,2015-04-21,1980
75,2015-04-22,1996
76,2015-04-23,2000
77,2015-04-24,2006
78,2015-04-27,2004
79,2015-04-28,2034
80,2015-04-30,2014
81,2015-05-01,2002
82,2015-05-07,1964
83,2015-05-08,1978
84,2015-05-11,2034
85,2015-05-12,2052
86,2015-05-13,2138
87,2015-05-14,2074
88,2015-05-15,2064
89,2015-05-18,2088
90,2015-05-19,2098
91,2015-05-20,2128
92,2015-05-21,2148
93,2015-05-22,2116
94,2015-05-25,2136
95,2015-05-26,2130
96,2015-05-27,2092
97,2015-05-28,2110
98,2015-05-29,2106
99,2015-06-01,2118
100,2015-06-02,2122
101,2015-06-03,2118
102,2015-06-04,2148
103,2015-06-05,2156
104,2015-06-08,2160
105,2015-06-09,2118
106,2015-06-10,2076
107,2015-06-11,2094
108,2015-06-12,2138
109,2015-06-15,2166
110,2015-06-16,2142
