,date,closing price
0,2015-01-05,2396
1,2015-01-06,2310
2,2015-01-07,2323
3,2015-01-08,2397
4,2015-01-09,2443
5,2015-01-13,2410
6,2015-01-14,2332
7,2015-01-15,2376
8,2015-01-16,2343
9,2015-01-19,2369
10,2015-01-20,2475
11,2015-01-21,2456
12,2015-01-22,2474
13,2015-01-23,2496
14,2015-01-26,2518
15,2015-01-27,2593
16,2015-01-28,2593
17,2015-01-29,2553
18,2015-01-30,2612
19,2015-02-02,2547
20,2015-02-03,2431
21,2015-02-04,2461
22,2015-02-05,2418
23,2015-02-06,2403
24,2015-02-09,2397
25,2015-02-10,2389
26,2015-02-12,2517
27,2015-02-13,2581
28,2015-02-16,2592
29,2015-02-17,2683
30,2015-02-18,2726
31,2015-02-19,2726
32,2015-02-20,2768
33,2015-02-23,2788
34,2015-02-24,2728
35,2015-02-25,2802
36,2015-02-26,2915
37,2015-02-27,2972
38,2015-03-02,2924
39,2015-03-03,2996
40,2015-03-04,2929
41,2015-03-05,2956
42,2015-03-06,2998
43,2015-03-09,3070
44,2015-03-10,3015
45,2015-03-11,3040
46,2015-03-12,2996
47,2015-03-13,3025
48,2015-03-16,2928
49,2015-03-17,2923
50,2015-03-18,2910
51,2015-03-19,2878
52,2015-03-20,2929
53,2015-03-23,2927
54,2015-03-24,2866
55,2015-03-25,2849
56,2015-03-26,2760
57,2015-03-27,2759
58,2015-03-30,2906
59,2015-03-31,2902
60,2015-04-01,2842
61,2015-04-02,2930
62,2015-04-03,2975
63,2015-04-06,2954
64,2015-04-07,2976
65,2015-04-08,2984
66,2015-04-09,3005
67,2015-04-10,3000
68,2015-04-13,3015
69,2015-04-14,2998
70,2015-04-15,2961
71,2015-04-16,2966
72,2015-04-17,2890
73,2015-04-20,2918
74,2015-04-21,2950
75,2015-04-22,2917
76,2015-04-23,2892
77,2015-04-24,2859
78,2015-04-27,2835
79,2015-04-28,2884
80,2015-04-30,2831
81,2015-05-01,2822
82,2015-05-07,2820
83,2015-05-08,2835
84,2015-05-11,2871
85,2015-05-12,2962
86,2015-05-13,2969
87,2015-05-14,2978
88,2015-05-15,2974
89,2015-05-18,2957
90,2015-05-19,2957
91,2015-05-20,2994
92,2015-05-21,2930
93,2015-05-22,2946
94,2015-05-25,3010
95,2015-05-26,3025
96,2015-05-27,3075
97,2015-05-28,3140
98,2015-05-29,3115
99,2015-06-01,3125
100,2015-06-02,3120
101,2015-06-03,3115
102,2015-06-04,3150
103,2015-06-05,3150
104,2015-06-08,3195
105,2015-06-09,3085
106,2015-06-10,2980
107,2015-06-11,2969
108,2015-06-12,2999
109,2015-06-15,3015
110,2015-06-16,2976
111,2015-06-17,2935
112,2015-06-18,2870
113,2015-06-19,2920
114,2015-06-22,2906
115,2015-06-23,2958
116,2015-06-24,2840
117,2015-06-25,2802
118,2015-06-26,2757
