,date,closing price
0,2015-01-05,1272
1,2015-01-06,1234
2,2015-01-07,1205
3,2015-01-08,1236
4,2015-01-09,1217
5,2015-01-13,1209
6,2015-01-14,1191
7,2015-01-15,1196
8,2015-01-16,1160
9,2015-01-19,1175
10,2015-01-20,1214
11,2015-01-21,1200
12,2015-01-22,1228
13,2015-01-23,1262
14,2015-01-26,1286
15,2015-01-27,1288
16,2015-01-28,1312
17,2015-01-29,1299
18,2015-01-30,1332
19,2015-02-02,1314
20,2015-02-03,1287
21,2015-02-04,1341
22,2015-02-05,1248
23,2015-02-06,1271
24,2015-02-09,1234
25,2015-02-10,1231
26,2015-02-12,1254
27,2015-02-13,1223
28,2015-02-16,1189
29,2015-02-17,1177
30,2015-02-18,1176
31,2015-02-19,1161
32,2015-02-20,1200
33,2015-02-23,1224
34,2015-02-24,1231
35,2015-02-25,1218
36,2015-02-26,1222
37,2015-02-27,1216
38,2015-03-02,1200
39,2015-03-03,1193
40,2015-03-04,1191
41,2015-03-05,1161
42,2015-03-06,1167
43,2015-03-09,1151
44,2015-03-10,1141
45,2015-03-11,1145
46,2015-03-12,1151
47,2015-03-13,1180
48,2015-03-16,1204
49,2015-03-17,1192
50,2015-03-18,1203
51,2015-03-19,1193
52,2015-03-20,1182
53,2015-03-23,1191
54,2015-03-24,1205
55,2015-03-25,1218
56,2015-03-26,1219
57,2015-03-27,1193
58,2015-03-30,1196
59,2015-03-31,1153
60,2015-04-01,1152
61,2015-04-02,1173
62,2015-04-03,1167
63,2015-04-06,1152
64,2015-04-07,1163
65,2015-04-08,1214
66,2015-04-09,1212
67,2015-04-10,1196
68,2015-04-13,1183
69,2015-04-14,1203
70,2015-04-15,1196
71,2015-04-16,1215
72,2015-04-17,1215
73,2015-04-20,1235
74,2015-04-21,1228
75,2015-04-22,1251
76,2015-04-23,1260
77,2015-04-24,1239
78,2015-04-27,1231
79,2015-04-28,1240
80,2015-04-30,1247
81,2015-05-01,1250
82,2015-05-07,1214
83,2015-05-08,1231
84,2015-05-11,1249
85,2015-05-12,1345
86,2015-05-13,1372
87,2015-05-14,1335
88,2015-05-15,1313
89,2015-05-18,1337
90,2015-05-19,1364
91,2015-05-20,1361
92,2015-05-21,1354
93,2015-05-22,1391
94,2015-05-25,1396
95,2015-05-26,1389
96,2015-05-27,1392
97,2015-05-28,1396
98,2015-05-29,1397
99,2015-06-01,1400
100,2015-06-02,1432
101,2015-06-03,1443
102,2015-06-04,1455
103,2015-06-05,1447
104,2015-06-08,1448
105,2015-06-09,1419
106,2015-06-10,1422
107,2015-06-11,1454
108,2015-06-12,1444
109,2015-06-15,1432
110,2015-06-16,1414
111,2015-06-17,1406
112,2015-06-18,1346
113,2015-06-19,1365
114,2015-06-22,1384
115,2015-06-23,1422
116,2015-06-24,1450
117,2015-06-25,1460
118,2015-06-26,1431
119,2015-06-29,1363
120,2015-06-30,1369
121,2015-07-01,1376
122,2015-07-02,1395
123,2015-07-03,1405
124,2015-07-06,1347
125,2015-07-07,1363
126,2015-07-08,1330
127,2015-07-09,1317
128,2015-07-10,1353
129,2015-07-13,1347
130,2015-07-14,1373
131,2015-07-15,1373
132,2015-07-16,1358
133,2015-07-17,1364
134,2015-07-21,1371
135,2015-07-22,1351
136,2015-07-23,1364
137,2015-07-24,1333
138,2015-07-27,1318
139,2015-07-28,1328
140,2015-07-29,1320
141,2015-07-30,1377
142,2015-07-31,1374
143,2015-08-03,1366
144,2015-08-04,1365
145,2015-08-05,1400
146,2015-08-06,1429
147,2015-08-07,1452
148,2015-08-10,1461
149,2015-08-11,1464
150,2015-08-12,1440
151,2015-08-13,1464
152,2015-08-14,1454
153,2015-08-17,1460
154,2015-08-18,1436
155,2015-08-19,1419
156,2015-08-20,1429
157,2015-08-21,1395
158,2015-08-24,1341
159,2015-08-25,1319
160,2015-08-26,1364
161,2015-08-27,1402
162,2015-08-28,1475
163,2015-08-31,1460
164,2015-09-01,1415
165,2015-09-02,1402
166,2015-09-03,1396
167,2015-09-04,1362
168,2015-09-07,1377
169,2015-09-08,1348
170,2015-09-09,1470
171,2015-09-10,1463
172,2015-09-11,1462
173,2015-09-14,1439
174,2015-09-15,1450
175,2015-09-16,1475
176,2015-09-17,1518
177,2015-09-18,1490
178,2015-09-24,1393
179,2015-09-25,1391
180,2015-09-28,1344
181,2015-09-29,1317
182,2015-09-30,1346
183,2015-10-01,1380
184,2015-10-02,1404
185,2015-10-05,1428
186,2015-10-06,1455
187,2015-10-07,1464
188,2015-10-08,1455
189,2015-10-09,1549
190,2015-10-13,1536
191,2015-10-14,1511
192,2015-10-15,1530
193,2015-10-16,1523
194,2015-10-19,1507
195,2015-10-20,1495
196,2015-10-21,1530
197,2015-10-22,1536
198,2015-10-23,1584
199,2015-10-26,1600
200,2015-10-27,1565
201,2015-10-28,1587
202,2015-10-29,1596
203,2015-10-30,1649
204,2015-11-02,1590
205,2015-11-04,1595
206,2015-11-05,1614
207,2015-11-06,1605
208,2015-11-09,1640
209,2015-11-10,1537
210,2015-11-11,1548
211,2015-11-12,1562
212,2015-11-13,1554
213,2015-11-16,1544
214,2015-11-17,1563
215,2015-11-18,1516
216,2015-11-19,1534
217,2015-11-20,1517
218,2015-11-24,1545
219,2015-11-25,1540
220,2015-11-26,1559
221,2015-11-27,1468
222,2015-11-30,1456
223,2015-12-01,1404
224,2015-12-02,1417
225,2015-12-03,1411
226,2015-12-04,1359
227,2015-12-07,1362
228,2015-12-08,1332
229,2015-12-09,1322
230,2015-12-10,1299
231,2015-12-11,1323
232,2015-12-14,1287
233,2015-12-15,1280
234,2015-12-16,1300
235,2015-12-17,1316
236,2015-12-18,1298
237,2015-12-21,1288
238,2015-12-22,1268
239,2015-12-24,1265
240,2015-12-25,1260
241,2015-12-28,1278
242,2015-12-29,1278
243,2015-12-30,1282
