,date,closing price
0,2018-01-04,9820
1,2018-01-05,9970
2,2018-01-09,9940
3,2018-01-10,9770
4,2018-01-11,9580
5,2018-01-12,9410
6,2018-01-15,9430
7,2018-01-16,9540
8,2018-01-17,9660
9,2018-01-18,10130
10,2018-01-19,10030
11,2018-01-22,9800
12,2018-01-23,9840
13,2018-01-24,9760
14,2018-01-25,9920
15,2018-01-26,9600
16,2018-01-29,9870
17,2018-01-30,9610
18,2018-01-31,9480
19,2018-02-01,9590
20,2018-02-02,9370
21,2018-02-05,9030
22,2018-02-06,8580
23,2018-02-07,8400
24,2018-02-08,8510
25,2018-02-09,8160
26,2018-02-13,8050
27,2018-02-14,8760
28,2018-02-15,9150
29,2018-02-16,9460
30,2018-02-19,9610
31,2018-02-20,9580
32,2018-02-21,9630
33,2018-02-22,9450
34,2018-02-23,9440
35,2018-02-26,9600
36,2018-02-27,9890
37,2018-02-28,10040
38,2018-03-01,10050
39,2018-03-02,9720
40,2018-03-05,9550
41,2018-03-06,9890
42,2018-03-07,9900
43,2018-03-08,10380
44,2018-03-09,10240
45,2018-03-12,10300
46,2018-03-13,10660
47,2018-03-14,10320
48,2018-03-15,10250
49,2018-03-16,10000
50,2018-03-19,9800
51,2018-03-20,9900
52,2018-03-22,10290
53,2018-03-23,9690
54,2018-03-26,9580
55,2018-03-27,9940
56,2018-03-28,9470
57,2018-03-29,9410
58,2018-03-30,9760
59,2018-04-02,9870
60,2018-04-03,9590
61,2018-04-04,9190
62,2018-04-05,9220
63,2018-04-06,9190
64,2018-04-09,9240
65,2018-04-10,9390
66,2018-04-11,9360
67,2018-04-12,9280
68,2018-04-13,9530
69,2018-04-16,9560
70,2018-04-17,9510
71,2018-04-18,9450
72,2018-04-19,9210
73,2018-04-20,8770
74,2018-04-23,8690
75,2018-04-24,8660
76,2018-04-25,8530
77,2018-04-26,8770
78,2018-04-27,9010
79,2018-05-01,9020
80,2018-05-02,9160
81,2018-05-07,9420
82,2018-05-08,9470
83,2018-05-09,9520
84,2018-05-10,9740
85,2018-05-11,9920
86,2018-05-14,9880
87,2018-05-15,9880
88,2018-05-16,9770
89,2018-05-17,9940
90,2018-05-18,9610
91,2018-05-21,9470
92,2018-05-22,9450
93,2018-05-23,9460
94,2018-05-24,9490
95,2018-05-25,9160
96,2018-05-28,9080
97,2018-05-29,9050
98,2018-05-30,9050
99,2018-05-31,9260
100,2018-06-01,9080
101,2018-06-04,9250
102,2018-06-05,9430
103,2018-06-06,9470
104,2018-06-07,9400
105,2018-06-08,9160
106,2018-06-11,9090
107,2018-06-12,9030
108,2018-06-13,9100
109,2018-06-14,9010
110,2018-06-15,8620
111,2018-06-18,8400
112,2018-06-19,8270
113,2018-06-20,8370
114,2018-06-21,8470
115,2018-06-22,8330
116,2018-06-25,8230
117,2018-06-26,8280
118,2018-06-27,8250
119,2018-06-28,8500
120,2018-06-29,7800
121,2018-07-02,7880
122,2018-07-03,7900
123,2018-07-04,7570
124,2018-07-05,7580
125,2018-07-06,7790
126,2018-07-09,7970
127,2018-07-10,7990
128,2018-07-11,7890
129,2018-07-12,7710
130,2018-07-13,7790
131,2018-07-17,7900
132,2018-07-18,7990
133,2018-07-19,8310
134,2018-07-20,8110
135,2018-07-23,8010
136,2018-07-24,8120
