,date,closing price
0,2018-01-04,1275.5
1,2018-01-05,1298.5
2,2018-01-09,1305.5
3,2018-01-10,1289
4,2018-01-11,1288.5
5,2018-01-12,1294
6,2018-01-15,1284.5
7,2018-01-16,1289.5
8,2018-01-17,1287.5
9,2018-01-18,1243
10,2018-01-19,1208.5
11,2018-01-22,1217.5
12,2018-01-23,1217.5
13,2018-01-24,1210
14,2018-01-25,1202
15,2018-01-26,1208.5
16,2018-01-29,1221.5
17,2018-01-30,1195
18,2018-01-31,1184.5
19,2018-02-01,1208
20,2018-02-02,1197
21,2018-02-05,1163.5
22,2018-02-06,1100
23,2018-02-07,1088
24,2018-02-08,1098.5
25,2018-02-09,1062
26,2018-02-13,1050
27,2018-02-14,1041
28,2018-02-15,1047.5
29,2018-02-16,1073.5
30,2018-02-19,1103.5
31,2018-02-20,1089.5
32,2018-02-21,1104
33,2018-02-22,1078
34,2018-02-23,1107
35,2018-02-26,1098.5
36,2018-02-27,1115
37,2018-02-28,1094
38,2018-03-01,1077
39,2018-03-02,1059
40,2018-03-05,1027
41,2018-03-06,1049
42,2018-03-07,1030
43,2018-03-08,1027
44,2018-03-09,1039
45,2018-03-12,1064.5
46,2018-03-13,1063.5
47,2018-03-14,1055
48,2018-03-15,1046.5
49,2018-03-16,1034
50,2018-03-19,1019.5
51,2018-03-20,1016.5
52,2018-03-22,1023
53,2018-03-23,978.1
54,2018-03-26,982.7
55,2018-03-27,1017
56,2018-03-28,1012
57,2018-03-29,1020
58,2018-03-30,1030.5
59,2018-04-02,1019.5
60,2018-04-03,1012.5
61,2018-04-04,993.5
62,2018-04-05,1006.5
63,2018-04-06,994.7
64,2018-04-09,991.9
65,2018-04-10,1021
66,2018-04-11,1021.5
67,2018-04-12,1019.5
68,2018-04-13,1039.5
69,2018-04-16,1038.5
70,2018-04-17,1035
71,2018-04-18,1034.5
72,2018-04-19,1063
73,2018-04-20,1056
74,2018-04-23,1050.5
75,2018-04-24,1064
76,2018-04-25,1055.5
77,2018-04-26,1049
78,2018-04-27,1039.5
79,2018-05-01,1046.5
80,2018-05-02,1045
81,2018-05-07,1021
82,2018-05-08,1026
83,2018-05-09,1018.5
84,2018-05-10,1039
85,2018-05-11,1019.5
86,2018-05-14,999.2
87,2018-05-15,1011.5
88,2018-05-16,1015.5
89,2018-05-17,1041
90,2018-05-18,1058
91,2018-05-21,1050.5
92,2018-05-22,1051.5
93,2018-05-23,1045.5
94,2018-05-24,1026
95,2018-05-25,1019
96,2018-05-28,1018.5
97,2018-05-29,1007
98,2018-05-30,990.5
99,2018-05-31,1008
100,2018-06-01,986.2
101,2018-06-04,996.9
102,2018-06-05,987.9
103,2018-06-06,991.1
104,2018-06-07,1016
105,2018-06-08,998.2
106,2018-06-11,1000.5
107,2018-06-12,1002.5
108,2018-06-13,998.3
109,2018-06-14,981.5
110,2018-06-15,970.2
111,2018-06-18,948.1
112,2018-06-19,924.6
113,2018-06-20,915.9
114,2018-06-21,906
115,2018-06-22,897
116,2018-06-25,904.2
117,2018-06-26,919.7
118,2018-06-27,899.3
119,2018-06-28,909.3
120,2018-06-29,927.4
121,2018-07-02,916.1
122,2018-07-03,919.6
123,2018-07-04,911.3
124,2018-07-05,899.6
125,2018-07-06,918.2
126,2018-07-09,934.5
127,2018-07-10,948.5
128,2018-07-11,936.7
129,2018-07-12,916.7
130,2018-07-13,931.2
131,2018-07-17,953.5
132,2018-07-18,956.6
133,2018-07-19,962.1
134,2018-07-20,954.6
135,2018-07-23,957.8
136,2018-07-24,954.7
137,2018-07-25,969.6
138,2018-07-26,978.7
139,2018-07-27,994.2
140,2018-07-30,990.7
141,2018-07-31,974.7
142,2018-08-01,1013.5
143,2018-08-02,994.3
144,2018-08-03,991.6
145,2018-08-06,991.7
146,2018-08-07,995.9
147,2018-08-08,993.5
148,2018-08-09,998.5
149,2018-08-10,983.7
150,2018-08-13,955.6
151,2018-08-14,963.3
152,2018-08-15,946.1
153,2018-08-16,954
154,2018-08-17,956.9
155,2018-08-20,949.3
156,2018-08-21,952.3
157,2018-08-22,973.6
158,2018-08-23,975.2
159,2018-08-24,974.3
160,2018-08-27,993.9
161,2018-08-28,1005.5
162,2018-08-29,1018.5
163,2018-08-30,1008
164,2018-08-31,996
165,2018-09-03,980.9
166,2018-09-04,973.9
167,2018-09-05,970.5
168,2018-09-06,966.3
169,2018-09-07,951.2
170,2018-09-10,957.7
171,2018-09-11,952.5
172,2018-09-12,945.2
173,2018-09-13,967.7
174,2018-09-14,993
175,2018-09-18,1002.5
176,2018-09-19,1010.5
177,2018-09-20,997
178,2018-09-21,1014
179,2018-09-25,1041.5
180,2018-09-26,1033.5
181,2018-09-27,1048
182,2018-09-28,1087.5
183,2018-10-01,1093.5
184,2018-10-02,1101.5
185,2018-10-03,1102.5
186,2018-10-04,1101.5
187,2018-10-05,1065.5
188,2018-10-09,1056.5
189,2018-10-10,1026
190,2018-10-11,980.4
191,2018-10-12,979.3
192,2018-10-15,955.6
193,2018-10-16,961.7
194,2018-10-17,970.1
195,2018-10-18,939.3
196,2018-10-19,924.3
197,2018-10-22,928.2
198,2018-10-23,894.4
199,2018-10-24,890.7
200,2018-10-25,862.9
201,2018-10-26,850.7
202,2018-10-29,852.4
203,2018-10-30,865.4
204,2018-10-31,881.1
205,2018-11-01,905.3
206,2018-11-02,930.8
207,2018-11-05,911.3
208,2018-11-06,929.2
209,2018-11-07,930.6
210,2018-11-08,934.9
211,2018-11-09,939.1
212,2018-11-12,940.4
213,2018-11-13,916.4
214,2018-11-14,932.2
215,2018-11-15,933.7
216,2018-11-16,922
217,2018-11-19,925.3
218,2018-11-20,914.1
219,2018-11-21,927.1
220,2018-11-22,925.1
221,2018-11-26,927.6
222,2018-11-27,933.9
223,2018-11-28,936.7
224,2018-11-29,933.9
225,2018-11-30,928.6
226,2018-12-03,935
227,2018-12-04,919.7
228,2018-12-05,896.2
229,2018-12-06,877.6
230,2018-12-07,868
231,2018-12-10,853.3
232,2018-12-11,833.7
233,2018-12-12,849.1
234,2018-12-13,852.3
235,2018-12-14,844.6
236,2018-12-17,840.5
237,2018-12-18,825
238,2018-12-19,817
239,2018-12-20,794.3
240,2018-12-21,795.5
241,2018-12-25,766.3
242,2018-12-26,789.9
243,2018-12-27,839.6
244,2018-12-28,832.6
