,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2014-01-06,471,472,463,465,4682000,465
1,2014-01-07,464,470,461,462,3314000,462
2,2014-01-08,470,481,468,481,3987000,481
3,2014-01-09,478,479,472,474,3352000,474
4,2014-01-10,469,482,467,482,5512000,482
5,2014-01-14,483,493,473,484,10287000,484
6,2014-01-15,494,524,493,522,12779000,522
7,2014-01-16,521,537,519,527,8349000,527
8,2014-01-17,519,526,519,525,3532000,525
9,2014-01-20,522,522,506,515,4325000,515
10,2014-01-21,516,521,512,515,4234000,515
11,2014-01-22,516,530,515,523,5889000,523
12,2014-01-23,527,529,517,517,5542000,517
13,2014-01-24,505,515,503,508,6829000,508
14,2014-01-27,482,489,472,477,10412000,477
15,2014-01-28,460,483,455,472,12647000,472
16,2014-01-29,480,482,462,469,6125000,469
17,2014-01-30,460,462,452,456,4592000,456
18,2014-01-31,460,463,444,449,3538000,449
19,2014-02-03,418,425,403,412,9236000,412
20,2014-02-04,400,404,389,389,7336000,389
21,2014-02-05,405,405,378,388,11259000,388
22,2014-02-06,385,393,380,385,7000000,385
23,2014-02-07,403,412,393,398,4851000,398
24,2014-02-10,406,406,390,394,4374000,394
25,2014-02-12,398,401,391,398,3950000,398
26,2014-02-13,397,398,387,390,3942000,390
27,2014-02-14,386,391,370,375,5600000,375
28,2014-02-17,379,382,373,377,4848000,377
29,2014-02-18,380,387,374,385,6336000,385
30,2014-02-19,381,385,378,384,4462000,384
31,2014-02-20,382,385,366,368,5023000,368
32,2014-02-21,366,375,366,375,4590000,375
33,2014-02-24,378,388,376,384,6213000,384
34,2014-02-25,386,390,383,387,4593000,387
35,2014-02-26,384,389,381,384,4462000,384
36,2014-02-27,380,381,371,374,6068000,374
37,2014-02-28,378,388,377,385,6217000,385
38,2014-03-03,375,378,366,376,5395000,376
39,2014-03-04,369,379,368,373,4369000,373
40,2014-03-05,376,388,374,384,7669000,384
41,2014-03-06,384,390,380,390,4522000,390
42,2014-03-07,395,397,384,389,4418000,389
43,2014-03-10,390,392,387,390,3866000,390
44,2014-03-11,394,396,386,391,2903000,391
45,2014-03-12,386,387,379,379,3602000,379
46,2014-03-13,380,382,375,377,3257000,377
47,2014-03-14,365,366,356,357,7201000,357
48,2014-03-17,357,359,350,354,4386000,354
49,2014-03-18,362,368,357,358,5111000,358
50,2014-03-19,361,365,353,356,4949000,356
51,2014-03-20,360,362,349,350,5603000,350
52,2014-03-24,348,350,331,334,10302000,334
53,2014-03-25,331,334,316,332,9098000,332
54,2014-03-26,335,347,326,347,9519000,347
55,2014-03-27,340,344,332,343,7155000,343
56,2014-03-28,340,341,331,339,7191000,339
57,2014-03-31,345,352,341,351,5567000,351
58,2014-04-01,356,358,349,355,4404000,355
59,2014-04-02,361,383,360,376,6909000,376
60,2014-04-03,375,381,372,373,5453000,373
61,2014-04-04,370,378,368,377,3427000,377
62,2014-04-07,371,382,371,380,4034000,380
63,2014-04-08,378,378,365,368,5461000,368
64,2014-04-09,360,363,345,347,5104000,347
65,2014-04-10,354,356,343,347,4320000,347
66,2014-04-11,332,342,331,338,6613000,338
67,2014-04-14,334,343,334,340,2578000,340
68,2014-04-15,350,364,350,359,8084000,359
69,2014-04-16,359,369,358,368,4570000,368
70,2014-04-17,368,375,360,361,5184000,361
71,2014-04-18,363,370,361,367,2322000,367
72,2014-04-21,371,379,370,375,3193000,375
73,2014-04-22,374,375,364,365,3474000,365
74,2014-04-23,369,377,368,377,3276000,377
75,2014-04-24,377,381,371,372,3348000,372
76,2014-04-25,377,380,371,374,3030000,374
77,2014-04-28,370,372,360,364,3035000,364
78,2014-04-30,364,365,348,350,3993000,350
79,2014-05-01,354,365,353,364,3200000,364
80,2014-05-02,362,363,355,361,2350000,361
81,2014-05-07,355,356,343,343,3079000,343
82,2014-05-08,346,347,341,345,3310000,345
83,2014-05-09,343,344,331,334,5520000,334
84,2014-05-12,335,346,333,339,4685000,339
85,2014-05-13,346,349,341,348,2703000,348
