,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2014-01-06,3455,3460,3410,3425,5989800,3425
1,2014-01-07,3425,3440,3360,3375,4478900,3375
2,2014-01-08,3335,3350,3270,3290,11450700,3290
3,2014-01-09,3230,3290,3165,3180,15135100,3180
4,2014-01-10,3150,3245,3150,3195,13505400,3195
5,2014-01-14,3198,3214,3170,3172,8703800,3172
6,2014-01-15,3183,3223,3175,3221,4942100,3221
7,2014-01-16,3218,3248,3212,3220,5531100,3220
8,2014-01-17,3219,3229,3184,3186,4617600,3186
9,2014-01-20,3200,3214,3189,3200,3824900,3200
10,2014-01-21,3219,3249,3216,3231,3377100,3231
11,2014-01-22,3231,3251,3217,3235,4583800,3235
12,2014-01-23,3259,3259,3219,3227,4737300,3227
13,2014-01-24,3195,3200,3158,3173,6361100,3173
14,2014-01-27,3103,3142,3073,3128,7371500,3128
15,2014-01-28,3185,3195,3060,3068,6749900,3068
16,2014-01-29,3119,3149,3087,3129,7351600,3129
17,2014-01-30,3045,3049,2992,3026,8410100,3026
18,2014-01-31,3205,3228,3155,3197,15339600,3197
19,2014-02-03,3240,3240,3125,3135,8883500,3135
20,2014-02-04,3075,3123,3040,3070,9577100,3070
21,2014-02-05,3125,3153,3054,3138,8487800,3138
22,2014-02-06,3170,3196,3102,3107,6648400,3107
23,2014-02-07,3134,3190,3116,3186,4481600,3186
24,2014-02-10,3230,3305,3218,3285,8510200,3285
25,2014-02-12,3300,3355,3299,3347,7457100,3347
26,2014-02-13,3308,3343,3296,3319,5041200,3319
27,2014-02-14,3347,3349,3273,3280,6473300,3280
28,2014-02-17,3333,3333,3276,3291,3805200,3291
29,2014-02-18,3310,3362,3309,3357,4650800,3357
30,2014-02-19,3355,3368,3333,3344,3339700,3344
31,2014-02-20,3309,3310,3275,3286,4415400,3286
32,2014-02-21,3318,3365,3316,3356,3466900,3356
33,2014-02-24,3388,3410,3312,3373,4371000,3373
34,2014-02-25,3303,3368,3303,3360,3710700,3360
35,2014-02-26,3336,3363,3323,3342,2815800,3342
36,2014-02-27,3292,3319,3268,3282,5884800,3282
37,2014-02-28,3249,3254,3181,3232,7192600,3232
38,2014-03-03,3185,3195,3092,3170,7887700,3170
39,2014-03-04,3101,3170,3085,3129,6981100,3129
40,2014-03-05,3207,3241,3198,3222,5644800,3222
41,2014-03-06,3205,3253,3192,3229,3723000,3229
42,2014-03-07,3249,3252,3190,3222,3414600,3222
43,2014-03-10,3199,3208,3168,3191,4155200,3191
44,2014-03-11,3235,3240,3181,3201,2678500,3201
45,2014-03-12,3170,3179,3137,3146,4727600,3146
46,2014-03-13,3134,3165,3126,3131,3415200,3131
47,2014-03-14,3000,3064,3000,3016,9618300,3016
48,2014-03-17,3016,3045,2997,3018,4579800,3018
49,2014-03-18,3050,3071,3002,3003,4304900,3003
50,2014-03-19,3034,3060,3012,3018,4409100,3018
51,2014-03-20,3067,3094,3013,3030,8125300,3030
52,2014-03-24,3100,3120,3035,3096,7427300,3096
53,2014-03-25,3085,3143,3064,3115,6931400,3115
54,2014-03-26,3185,3226,3142,3170,6094100,3170
55,2014-03-27,3159,3166,3088,3140,4709300,3140
56,2014-03-28,3160,3189,3141,3188,3228200,3188
57,2014-03-31,3224,3249,3184,3240,3419500,3240
58,2014-04-01,3265,3275,3218,3242,3969200,3242
59,2014-04-02,3261,3287,3223,3232,4508900,3232
60,2014-04-03,3245,3308,3238,3290,4989000,3290
61,2014-04-04,3277,3300,3259,3296,3015900,3296
62,2014-04-07,3272,3311,3252,3274,3523300,3274
63,2014-04-08,3238,3261,3202,3219,3848400,3219
64,2014-04-09,3195,3229,3155,3191,5477800,3191
65,2014-04-10,3220,3262,3193,3193,4652700,3193
66,2014-04-11,3110,3172,3097,3152,6451100,3152
67,2014-04-14,3144,3208,3138,3157,4001200,3157
68,2014-04-15,3227,3229,3169,3215,5370200,3215
69,2014-04-16,3238,3276,3216,3251,4010300,3251
70,2014-04-17,3250,3251,3211,3230,4465800,3230
71,2014-04-18,3208,3235,3208,3229,1344200,3229
72,2014-04-21,3228,3259,3216,3220,1465500,3220
73,2014-04-22,3229,3304,3227,3297,4660800,3297
74,2014-04-23,3315,3372,3313,3352,6092100,3352
75,2014-04-24,3375,3404,3302,3327,4092100,3327
76,2014-04-25,3310,3392,3303,3366,6331800,3366
77,2014-04-28,3300,3339,3300,3330,3792900,3330
78,2014-04-30,3350,3384,3344,3356,4646300,3356
79,2014-05-01,3345,3351,3306,3318,4460700,3318
80,2014-05-02,3318,3355,3318,3340,2483300,3340
81,2014-05-07,3400,3408,3352,3371,8128400,3371
82,2014-05-08,3390,3396,3372,3386,5311800,3386
83,2014-05-09,3374,3398,3371,3391,3096300,3391
84,2014-05-12,3390,3418,3386,3400,4388900,3400
85,2014-05-13,3442,3455,3436,3452,4624200,3452
86,2014-05-14,3441,3454,3423,3442,3276300,3442
87,2014-05-15,3460,3460,3383,3396,4349900,3396
88,2014-05-16,3347,3349,3275,3299,5439500,3299
