,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2016-01-04,603,612,593,595,3613000,2975
1,2016-01-05,594,600,590,591,3029000,2955
2,2016-01-06,596,597,582,585,2859000,2925
3,2016-01-07,585,591,575,577,3280000,2885
4,2016-01-08,571,598,571,590,5836000,2950
5,2016-01-12,581,583,560,560,10687000,2800
6,2016-01-13,556,567,551,564,8714000,2820
7,2016-01-14,547,558,541,556,4141000,2780
8,2016-01-15,560,564,552,553,5136000,2765
9,2016-01-18,545,551,531,545,5600000,2725
10,2016-01-19,549,558,545,555,4386000,2775
11,2016-01-20,555,555,534,534,3874000,2670
12,2016-01-21,554,582,552,554,9443000,2770
13,2016-01-22,570,583,563,581,5676000,2905
14,2016-01-25,590,597,579,591,5038000,2955
15,2016-01-26,581,593,576,585,4438000,2925
16,2016-01-27,599,608,593,603,5299000,3015
17,2016-01-28,593,607,590,594,3663000,2970
18,2016-01-29,604,621,590,617,7527000,3085
19,2016-02-01,624,630,612,628,4481000,3140
20,2016-02-02,618,630,613,619,4193000,3095
21,2016-02-03,613,617,601,603,4858000,3015
22,2016-02-04,598,655,573,627,11929000,3135
23,2016-02-05,613,623,604,621,6787000,3105
24,2016-02-08,606,611,577,586,8179000,2930
25,2016-02-09,568,572,554,559,7329000,2795
26,2016-02-10,567,573,531,542,5703000,2710
27,2016-02-12,529,532,511,515,8924000,2575
28,2016-02-15,535,540,521,537,6005000,2685
29,2016-02-16,534,539,520,523,10141000,2615
30,2016-02-17,524,534,521,527,6539000,2635
31,2016-02-18,545,553,541,547,4545000,2735
32,2016-02-19,539,543,526,529,3896000,2645
33,2016-02-22,527,537,527,532,2915000,2660
34,2016-02-23,534,544,531,535,3820000,2675
35,2016-02-24,531,539,527,536,3382000,2680
36,2016-02-25,546,558,544,555,4681000,2775
37,2016-02-26,557,563,542,543,3322000,2715
38,2016-02-29,546,555,537,537,3424000,2685
39,2016-03-01,537,546,527,541,4256000,2705
40,2016-03-02,555,567,551,556,4189000,2780
41,2016-03-03,556,571,556,570,2942000,2850
42,2016-03-04,575,588,573,585,2760000,2925
43,2016-03-07,583,583,566,574,3491000,2870
44,2016-03-08,574,576,555,567,4354000,2835
45,2016-03-09,561,561,547,557,3648000,2785
46,2016-03-10,564,573,561,570,3309000,2850
47,2016-03-11,560,581,559,577,5687000,2885
48,2016-03-14,591,593,577,582,2563000,2910
49,2016-03-15,583,585,574,577,2158000,2885
50,2016-03-16,574,579,568,571,3005000,2855
51,2016-03-17,576,587,566,575,2400000,2875
52,2016-03-18,572,579,566,568,1955000,2840
53,2016-03-22,577,590,575,590,3998000,2950
54,2016-03-23,588,590,577,579,2243000,2895
55,2016-03-24,579,585,572,579,2748000,2895
56,2016-03-25,591,591,575,578,1984000,2890
57,2016-03-28,581,583,575,581,2435000,2905
58,2016-03-29,580,587,578,582,2757000,2910
59,2016-03-30,583,583,573,578,2463000,2890
60,2016-03-31,579,587,576,576,2686000,2880
61,2016-04-01,580,584,559,564,3694000,2820
62,2016-04-04,562,566,552,556,3033000,2780
63,2016-04-05,552,554,533,535,3531000,2675
64,2016-04-06,533,550,532,540,4160000,2700
65,2016-04-07,538,548,536,539,2761000,2695
66,2016-04-08,533,556,530,549,3869000,2745
67,2016-04-11,543,547,532,545,2419000,2725
68,2016-04-12,537,551,534,544,3138000,2720
69,2016-04-13,554,571,552,567,3804000,2835
70,2016-04-14,579,590,577,588,3317000,2940
71,2016-04-15,588,592,584,588,2399000,2940
72,2016-04-18,576,583,573,579,4099000,2895
73,2016-04-19,589,596,586,596,2829000,2980
74,2016-04-20,601,610,600,602,2710000,3010
75,2016-04-21,612,612,603,607,2508000,3035
76,2016-04-22,598,605,592,605,3281000,3025
77,2016-04-25,613,616,604,613,2548000,3065
78,2016-04-26,606,609,598,604,2288000,3020
79,2016-04-27,608,613,602,608,2984000,3040
80,2016-04-28,615,622,579,585,4240000,2925
81,2016-05-02,505,506,485,487,11436000,2435
82,2016-05-06,502,506,490,503,9245000,2515
83,2016-05-09,508,514,506,509,6597000,2545
84,2016-05-10,511,519,502,516,4817000,2580
85,2016-05-11,522,527,513,514,4304000,2570
86,2016-05-12,511,516,508,514,3206000,2570
87,2016-05-13,519,519,505,508,3728000,2540
88,2016-05-16,510,525,508,516,3424000,2580
89,2016-05-17,520,524,516,522,2526000,2610
90,2016-05-18,538,538,525,529,3416000,2645
91,2016-05-19,533,534,520,523,3044000,2615
92,2016-05-20,526,528,522,525,2768000,2625
93,2016-05-23,520,532,516,528,3475000,2640
94,2016-05-24,527,539,525,534,4588000,2670
