,date,closing price
0,2019-02-07,1821
1,2019-02-06,1845
2,2019-02-05,1822
3,2019-02-04,1844
4,2019-02-01,1876
5,2019-01-31,1878
6,2019-01-30,1863
7,2019-01-29,1873
8,2019-01-28,1864
9,2019-01-25,1869
10,2019-01-24,1856
11,2019-01-23,1859
12,2019-01-22,1842
13,2019-01-21,1865
14,2019-01-18,1846
15,2019-01-17,1825
16,2019-01-16,1829
17,2019-01-15,1844
18,2019-01-11,1825
19,2019-01-10,1796
20,2019-01-09,1826
21,2019-01-08,1815
22,2019-01-07,1818
23,2019-01-04,1750
24,2018-12-28,1757
25,2018-12-27,1738
26,2018-12-26,1687
27,2018-12-25,1656
28,2018-12-21,1719
29,2018-12-20,1753
30,2018-12-19,1798
31,2018-12-18,1820
32,2018-12-17,1841
33,2018-12-14,1850
34,2018-12-13,1883
35,2018-12-12,1861
36,2018-12-11,1840
37,2018-12-10,1873
38,2018-12-07,1901
39,2018-12-06,1914
40,2018-12-05,1930
41,2018-12-04,1947
42,2018-12-03,1990
43,2018-11-30,1960
44,2018-11-29,1956
45,2018-11-28,1942
46,2018-11-27,1946
47,2018-11-26,1937
48,2018-11-22,1938
49,2018-11-21,1918
50,2018-11-20,1925
51,2018-11-19,1917
52,2018-11-16,1922
53,2018-11-15,1939
54,2018-11-14,1931
55,2018-11-13,1935
56,2018-11-12,1954
57,2018-11-09,1949
58,2018-11-08,1945
59,2018-11-07,1946
60,2018-11-06,1954
61,2018-11-05,1955
62,2018-11-02,2001
63,2018-11-01,1978
64,2018-10-31,1960
65,2018-10-30,1933
66,2018-10-29,1922
67,2018-10-26,1931
68,2018-10-25,1924
69,2018-10-24,1980
70,2018-10-23,1978
71,2018-10-22,2028
72,2018-10-19,2010
73,2018-10-18,2030
74,2018-10-17,2053
75,2018-10-16,2046
76,2018-10-15,2030
77,2018-10-12,2050
78,2018-10-11,2065
79,2018-10-10,2133
80,2018-10-09,2134
81,2018-10-05,2158
82,2018-10-04,2208
83,2018-10-03,2214
84,2018-10-02,2239
85,2018-10-01,2189
86,2018-09-28,2179
87,2018-09-27,2145
88,2018-09-26,2139
89,2018-09-25,2255
90,2018-09-21,2242
91,2018-09-20,2189
92,2018-09-19,2213
93,2018-09-18,2212
94,2018-09-14,2172
95,2018-09-13,2131
96,2018-09-12,2094
97,2018-09-11,2099
98,2018-09-10,2111
99,2018-09-07,2136
100,2018-09-06,2114
101,2018-09-05,2115
102,2018-09-04,2123
103,2018-09-03,2156
104,2018-08-31,2201
105,2018-08-30,2200
106,2018-08-29,2196
107,2018-08-28,2228
108,2018-08-27,2227
109,2018-08-24,2221
110,2018-08-23,2200
111,2018-08-22,2200
112,2018-08-21,2155
113,2018-08-20,2162
114,2018-08-17,2149
115,2018-08-16,2119
116,2018-08-15,2133
117,2018-08-14,2139
118,2018-08-13,2105
119,2018-08-10,2155
120,2018-08-09,2170
121,2018-08-08,2172
122,2018-08-07,2183
123,2018-08-06,2165
124,2018-08-03,2206
125,2018-08-02,2198
126,2018-08-01,2196
127,2018-07-31,2080
128,2018-07-30,2081
129,2018-07-27,2086
130,2018-07-26,2071
131,2018-07-25,2054
132,2018-07-24,2031
133,2018-07-23,2023
134,2018-07-20,2033
135,2018-07-19,2043
136,2018-07-18,2046
137,2018-07-17,2043
138,2018-07-13,2029
139,2018-07-12,1986
140,2018-07-11,2007
141,2018-07-10,2042
142,2018-07-09,2023
143,2018-07-06,2013
144,2018-07-05,1993
145,2018-07-04,1991
146,2018-07-03,2003
147,2018-07-02,2000
148,2018-06-29,2032
149,2018-06-28,2023
150,2018-06-27,2021
151,2018-06-26,2026
152,2018-06-25,1998
153,2018-06-22,1996
154,2018-06-21,2010
155,2018-06-20,2022
156,2018-06-19,2019
157,2018-06-18,2062
158,2018-06-15,2086
159,2018-06-14,2098
160,2018-06-13,2110
161,2018-06-12,2170
162,2018-06-11,2165
163,2018-06-08,2156
164,2018-06-07,2178
165,2018-06-06,2175
166,2018-06-05,2145
167,2018-06-04,2151
168,2018-06-01,2115
169,2018-05-31,2112
170,2018-05-30,2090
171,2018-05-29,2129
172,2018-05-28,2183
173,2018-05-25,2150
174,2018-05-24,2137
175,2018-05-23,2176
176,2018-05-22,2217
177,2018-05-21,2225
178,2018-05-18,2240
179,2018-05-17,2223
180,2018-05-16,2207
181,2018-05-15,2190
182,2018-05-14,2173
183,2018-05-11,2162
184,2018-05-10,2128
185,2018-05-09,2098
186,2018-05-08,2062
187,2018-05-07,2066
188,2018-05-02,2068
189,2018-05-01,2059
190,2018-04-27,2061
191,2018-04-26,2051
192,2018-04-25,2063
193,2018-04-24,2083
194,2018-04-23,2074
195,2018-04-20,2058
196,2018-04-19,2071
197,2018-04-18,2032
198,2018-04-17,2003
199,2018-04-16,2016
200,2018-04-13,2015
201,2018-04-12,2019
202,2018-04-11,2013
203,2018-04-10,2011
204,2018-04-09,1977
205,2018-04-06,1971
206,2018-04-05,1988
207,2018-04-04,1968
208,2018-04-03,1973
209,2018-04-02,1991
210,2018-03-30,2001
211,2018-03-29,2000
212,2018-03-28,1991
213,2018-03-27,2024
214,2018-03-26,1987
215,2018-03-23,1984
216,2018-03-22,2033
217,2018-03-20,2044
218,2018-03-19,2034
219,2018-03-16,2038
220,2018-03-15,2048
221,2018-03-14,2051
222,2018-03-13,2059
223,2018-03-12,2060
224,2018-03-09,2038
225,2018-03-08,2038
226,2018-03-07,2036
227,2018-03-06,2054
228,2018-03-05,2029
229,2018-03-02,2053
230,2018-03-01,2096
231,2018-02-28,2117
232,2018-02-27,2157
233,2018-02-26,2140
234,2018-02-23,2140
235,2018-02-22,2111
236,2018-02-21,2167
237,2018-02-20,2180
238,2018-02-19,2189
239,2018-02-16,2147
240,2018-02-15,2133
241,2018-02-14,2129
242,2018-02-13,2136
243,2018-02-09,2175
244,2018-02-08,2237
245,2018-02-07,2214
246,2018-02-06,2235
247,2018-02-05,2366
248,2018-02-02,2429
249,2018-02-01,2460
250,2018-01-31,2411
251,2018-01-30,2448
252,2018-01-29,2470
253,2018-01-26,2476
254,2018-01-25,2471
255,2018-01-24,2496
256,2018-01-23,2492
257,2018-01-22,2492
258,2018-01-19,2516
259,2018-01-18,2516
260,2018-01-17,2541
261,2018-01-16,2545
262,2018-01-15,2532
263,2018-01-12,2516
264,2018-01-11,2546
265,2018-01-10,2572
266,2018-01-09,2565
267,2018-01-05,2592
268,2018-01-04,2559
269,2017-12-29,2510
270,2017-12-28,2502
271,2017-12-27,2528
272,2017-12-26,2517
273,2017-12-25,2532
274,2017-12-22,2513
275,2017-12-21,2516
276,2017-12-20,2510
277,2017-12-19,2472
278,2017-12-18,2479
279,2017-12-15,2401
280,2017-12-14,2424
281,2017-12-13,2422
282,2017-12-12,2473
283,2017-12-11,2492
284,2017-12-08,2456
285,2017-12-07,2419
286,2017-12-06,2396
287,2017-12-05,2431
288,2017-12-04,2407
289,2017-12-01,2430
290,2017-11-30,2420
291,2017-11-29,2391
292,2017-11-28,2378
293,2017-11-27,2408
294,2017-11-24,2412
295,2017-11-22,2392
296,2017-11-21,2391
297,2017-11-20,2359
298,2017-11-17,2374
299,2017-11-16,2363
