,date,closing price
0,2019-02-07,2056
1,2019-02-06,2134
2,2019-02-05,2046
3,2019-02-04,2046
4,2019-02-01,2021
5,2019-01-31,2022
6,2019-01-30,1994
7,2019-01-29,1995
8,2019-01-28,1994
9,2019-01-25,1998
10,2019-01-24,1955
11,2019-01-23,1954
12,2019-01-22,1954
13,2019-01-21,1962
14,2019-01-18,1953
15,2019-01-17,1925
16,2019-01-16,1925
17,2019-01-15,1984
18,2019-01-11,1944
19,2019-01-10,1921
20,2019-01-09,1937
21,2019-01-08,1906
22,2019-01-07,1848
23,2019-01-04,1787
24,2018-12-28,1901
25,2018-12-27,1867
26,2018-12-26,1769
27,2018-12-25,1756
28,2018-12-21,1879
29,2018-12-20,1904
30,2018-12-19,1990
31,2018-12-18,1996
32,2018-12-17,2041
33,2018-12-14,2043
34,2018-12-13,2124
35,2018-12-12,2071
36,2018-12-11,1976
37,2018-12-10,2028
38,2018-12-07,2053
39,2018-12-06,2022
40,2018-12-05,2076
41,2018-12-04,2083
42,2018-12-03,2129
43,2018-11-30,2086
44,2018-11-29,2043
45,2018-11-28,1995
46,2018-11-27,1988
47,2018-11-26,1985
48,2018-11-22,2030
49,2018-11-21,2076
50,2018-11-20,2088
51,2018-11-19,2154
52,2018-11-16,2129
53,2018-11-15,2146
54,2018-11-14,2165
55,2018-11-13,2235
56,2018-11-12,2284
57,2018-11-09,2336
58,2018-11-08,2367
59,2018-11-07,2335
60,2018-11-06,2171
61,2018-11-05,2227
62,2018-11-02,2249
63,2018-11-01,2208
64,2018-10-31,2221
65,2018-10-30,2176
66,2018-10-29,2150
67,2018-10-26,2199
68,2018-10-25,2193
69,2018-10-24,2320
70,2018-10-23,2324
71,2018-10-22,2354
72,2018-10-19,2317
73,2018-10-18,2369
74,2018-10-17,2374
75,2018-10-16,2340
76,2018-10-15,2314
77,2018-10-12,2350
78,2018-10-11,2344
79,2018-10-10,2419
80,2018-10-09,2438
81,2018-10-05,2495
82,2018-10-04,2486
83,2018-10-03,2448
84,2018-10-02,2463
85,2018-10-01,2451
86,2018-09-28,2403
87,2018-09-27,2358
88,2018-09-26,2418
89,2018-09-25,2427
90,2018-09-21,2434
91,2018-09-20,2398
92,2018-09-19,2349
93,2018-09-18,2326
94,2018-09-14,2300
95,2018-09-13,2230
96,2018-09-12,2226
97,2018-09-11,2232
98,2018-09-10,2208
99,2018-09-07,2196
100,2018-09-06,2231
