,date,closing price
0,2019-02-07,2332
1,2019-02-06,2327
2,2019-02-05,2294
3,2019-02-04,2309
4,2019-02-01,2279
5,2019-01-31,2401
6,2019-01-30,2391
7,2019-01-29,2405
8,2019-01-28,2416
9,2019-01-25,2466
10,2019-01-24,2435
11,2019-01-23,2428
12,2019-01-22,2433
13,2019-01-21,2466
14,2019-01-18,2412
15,2019-01-17,2387
16,2019-01-16,2383
17,2019-01-15,2383
18,2019-01-11,2350
19,2019-01-10,2354
20,2019-01-09,2335
21,2019-01-08,2309
22,2019-01-07,2270
23,2019-01-04,2237
24,2018-12-28,2237
25,2018-12-27,2242
26,2018-12-26,2163
27,2018-12-25,2160
28,2018-12-21,2253
29,2018-12-20,2346
30,2018-12-19,2426
31,2018-12-18,2422
32,2018-12-17,2477
33,2018-12-14,2488
34,2018-12-13,2582
35,2018-12-12,2530
36,2018-12-11,2430
37,2018-12-10,2447
38,2018-12-07,2498
39,2018-12-06,2447
40,2018-12-05,2469
41,2018-12-04,2555
42,2018-12-03,2665
43,2018-11-30,2589
44,2018-11-29,2619
45,2018-11-28,2598
46,2018-11-27,2634
47,2018-11-26,2559
48,2018-11-22,2572
49,2018-11-21,2557
50,2018-11-20,2556
51,2018-11-19,2538
52,2018-11-16,2644
53,2018-11-15,2666
54,2018-11-14,2746
55,2018-11-13,2717
56,2018-11-12,2843
57,2018-11-09,2901
58,2018-11-08,2907
59,2018-11-07,2858
60,2018-11-06,2905
61,2018-11-05,2837
62,2018-11-02,2841
63,2018-11-01,2835
64,2018-10-31,2782
65,2018-10-30,2737
66,2018-10-29,2696
67,2018-10-26,2713
68,2018-10-25,2715
69,2018-10-24,2849
70,2018-10-23,2903
71,2018-10-22,2995
72,2018-10-19,2983
73,2018-10-18,3015
74,2018-10-17,3020
75,2018-10-16,2945
76,2018-10-15,2934
77,2018-10-12,3015
78,2018-10-11,3070
79,2018-10-10,3175
80,2018-10-09,3100
81,2018-10-05,3230
82,2018-10-04,3170
83,2018-10-03,3095
84,2018-10-02,3145
85,2018-10-01,3130
86,2018-09-28,3125
87,2018-09-27,3120
88,2018-09-26,3230
89,2018-09-25,3250
90,2018-09-21,3265
91,2018-09-20,3195
92,2018-09-19,3150
93,2018-09-18,3065
94,2018-09-14,2975
95,2018-09-13,2990
96,2018-09-12,2955
97,2018-09-11,2985
98,2018-09-10,2965
99,2018-09-07,2960
100,2018-09-06,2995
101,2018-09-05,3020
102,2018-09-04,3055
103,2018-09-03,3050
104,2018-08-31,3115
105,2018-08-30,3125
106,2018-08-29,3140
107,2018-08-28,3035
108,2018-08-27,3025
109,2018-08-24,3030
110,2018-08-23,2960
111,2018-08-22,2950
112,2018-08-21,2910
113,2018-08-20,2885
114,2018-08-17,2875
115,2018-08-16,2830
116,2018-08-15,2835
117,2018-08-14,2845
118,2018-08-13,2845
119,2018-08-10,2955
120,2018-08-09,3000
121,2018-08-08,3020
122,2018-08-07,3090
123,2018-08-06,3115
124,2018-08-03,3165
125,2018-08-02,3300
126,2018-08-01,3300
127,2018-07-31,3055
128,2018-07-30,3135
129,2018-07-27,3145
130,2018-07-26,3075
131,2018-07-25,3085
132,2018-07-24,3055
133,2018-07-23,3055
134,2018-07-20,2850
135,2018-07-19,2855
136,2018-07-18,2775
137,2018-07-17,2760
138,2018-07-13,2745
139,2018-07-12,2755
140,2018-07-11,2735
141,2018-07-10,2755
142,2018-07-09,2740
143,2018-07-06,2725
144,2018-07-05,2675
145,2018-07-04,2710
146,2018-07-03,2730
147,2018-07-02,2730
148,2018-06-29,2785
149,2018-06-28,2720
150,2018-06-27,2745
151,2018-06-26,2775
152,2018-06-25,2730
153,2018-06-22,2745
154,2018-06-21,2760
155,2018-06-20,2870
156,2018-06-19,2925
157,2018-06-18,2950
158,2018-06-15,3020
159,2018-06-14,3040
160,2018-06-13,3025
161,2018-06-12,3005
162,2018-06-11,3010
163,2018-06-08,2955
164,2018-06-07,2980
165,2018-06-06,2965
166,2018-06-05,3010
167,2018-06-04,3030
168,2018-06-01,2905
169,2018-05-31,2910
170,2018-05-30,2835
171,2018-05-29,2875
172,2018-05-28,2890
173,2018-05-25,2890
174,2018-05-24,2900
175,2018-05-23,2960
176,2018-05-22,3025
177,2018-05-21,3005
178,2018-05-18,3070
179,2018-05-17,3020
180,2018-05-16,2980
181,2018-05-15,2955
182,2018-05-14,2945
183,2018-05-11,2970
184,2018-05-10,2935
185,2018-05-09,2920
186,2018-05-08,2880
187,2018-05-07,2870
188,2018-05-02,2920
189,2018-05-01,2875
190,2018-04-27,2930
191,2018-04-26,2965
192,2018-04-25,3015
193,2018-04-24,3025
194,2018-04-23,2940
195,2018-04-20,2875
196,2018-04-19,2860
197,2018-04-18,2895
198,2018-04-17,2905
199,2018-04-16,2940
200,2018-04-13,2910
201,2018-04-12,2845
202,2018-04-11,2820
203,2018-04-10,2845
204,2018-04-09,2820
205,2018-04-06,2790
206,2018-04-05,2805
207,2018-04-04,2720
208,2018-04-03,2725
209,2018-04-02,2770
210,2018-03-30,2865
211,2018-03-29,2880
212,2018-03-28,2790
213,2018-03-27,2815
214,2018-03-26,2720
215,2018-03-23,2710
216,2018-03-22,2800
217,2018-03-20,2835
218,2018-03-19,2770
219,2018-03-16,2800
220,2018-03-15,2800
221,2018-03-14,2800
222,2018-03-13,2760
223,2018-03-12,2755
224,2018-03-09,2645
225,2018-03-08,2650
226,2018-03-07,2640
227,2018-03-06,2660
228,2018-03-05,2630
229,2018-03-02,2645
230,2018-03-01,2705
231,2018-02-28,2755
232,2018-02-27,2815
233,2018-02-26,2820
234,2018-02-23,2815
235,2018-02-22,2800
236,2018-02-21,2810
237,2018-02-20,2865
238,2018-02-19,2915
239,2018-02-16,2840
240,2018-02-15,2795
241,2018-02-14,2775
242,2018-02-13,2800
243,2018-02-09,2905
244,2018-02-08,3005
245,2018-02-07,3000
246,2018-02-06,3020
247,2018-02-05,3185
248,2018-02-02,3245
249,2018-02-01,3290
250,2018-01-31,3160
251,2018-01-30,3160
252,2018-01-29,3190
253,2018-01-26,3175
254,2018-01-25,3235
255,2018-01-24,3285
256,2018-01-23,3360
257,2018-01-22,3290
258,2018-01-19,3260
259,2018-01-18,3265
260,2018-01-17,3325
261,2018-01-16,3400
262,2018-01-15,3435
263,2018-01-12,3400
264,2018-01-11,3425
265,2018-01-10,3430
266,2018-01-09,3330
267,2018-01-05,3310
268,2018-01-04,3280
269,2017-12-29,3165
270,2017-12-28,3140
271,2017-12-27,3220
